Trace
Swept SA
A.14.05,N9020A
526 B25 FS1 MPB RTL ,01
Segment,0
Number of Points,938
Sweep Time,0.001061933333
Start Frequency,4700000000
Stop Frequency,5100000000
Average Count,1
Average Type,LogPower(Video)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,3000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,20
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
4700000000,-60.9247817993164
4700426894.34365,-79.43701171875
4700853788.6873,-60.8217239379883
4701280683.03095,-76.0825958251953
4701707577.3746,-65.2216262817383
4702134471.71825,-79.2617645263672
4702561366.0619,-60.4083595275879
4702988260.40555,-71.6469268798828
4703415154.7492,-60.5059394836426
4703842049.09285,-77.2021484375
4704268943.4365,-64.1451797485352
4704695837.78015,-77.9075164794922
4705122732.1238,-63.4188957214355
4705549626.46745,-72.7598571777344
4705976520.8111,-61.6651725769043
4706403415.15475,-77.3875885009766
4706830309.4984,-60.8631935119629
4707257203.84205,-74.3807983398438
4707684098.1857,-61.7750816345215
4708110992.52935,-78.6638412475586
4708537886.873,-62.198974609375
4708964781.21665,-76.1597442626953
4709391675.5603,-62.1429557800293
4709818569.90395,-74.1201324462891
4710245464.2476,-64.1094818115234
4710672358.59125,-82.7047653198242
4711099252.9349,-64.1019668579102
4711526147.27855,-75.3013305664063
4711953041.6222,-62.8420333862305
4712379935.96585,-78.5322723388672
4712806830.3095,-62.5908470153809
4713233724.65315,-74.5432052612305
4713660618.9968,-61.6818923950195
4714087513.34045,-79.3902740478516
4714514407.6841,-64.9275360107422
4714941302.02775,-78.5393753051758
4715368196.3714,-61.1560020446777
4715795090.71505,-72.2822875976563
4716221985.0587,-61.8198127746582
4716648879.40235,-87.9439468383789
4717075773.746,-58.6964950561523
4717502668.08965,-73.4489593505859
4717929562.4333,-63.622200012207
4718356456.77695,-76.6732864379883
4718783351.1206,-64.4146270751953
4719210245.46425,-80.9640045166016
4719637139.8079,-62.9625511169434
4720064034.15155,-81.693962097168
4720490928.4952,-62.888484954834
4720917822.83885,-84.8337707519531
4721344717.1825,-62.75341796875
4721771611.52615,-75.611213684082
4722198505.8698,-60.4488182067871
4722625400.21345,-74.2069091796875
4723052294.5571,-62.4678535461426
4723479188.90075,-75.3601913452148
4723906083.2444,-60.61376953125
4724332977.58805,-69.1427917480469
4724759871.9317,-60.2736549377441
4725186766.27535,-73.2078857421875
4725613660.619,-61.2218856811523
4726040554.96265,-82.5049896240234
4726467449.3063,-61.593189239502
4726894343.64995,-75.36083984375
4727321237.9936,-61.5110397338867
4727748132.33725,-80.8583221435547
4728175026.6809,-65.0918121337891
4728601921.02455,-78.7903747558594
4729028815.3682,-62.5204315185547
4729455709.71185,-72.3569030761719
4729882604.0555,-63.473804473877
4730309498.39915,-80.3311233520508
4730736392.7428,-61.7858200073242
4731163287.08645,-72.841552734375
4731590181.4301,-62.9119033813477
4732017075.77375,-70.6861419677734
4732443970.1174,-63.9350967407227
4732870864.46105,-74.1081695556641
4733297758.8047,-63.948486328125
4733724653.14835,-77.1862411499023
4734151547.492,-58.5858192443848
4734578441.83565,-87.3740997314453
4735005336.1793,-59.1959762573242
4735432230.52295,-74.3232574462891
4735859124.8666,-62.4070777893066
4736286019.21025,-76.3349380493164
4736712913.5539,-61.9221801757813
4737139807.89755,-76.3806686401367
4737566702.2412,-59.9115562438965
4737993596.58485,-83.4134368896484
4738420490.9285,-65.8779296875
4738847385.27215,-83.3437805175781
4739274279.6158,-64.0988159179688
4739701173.95945,-86.2168045043945
4740128068.30309,-64.9368057250977
4740554962.64674,-77.137565612793
4740981856.99039,-62.7630233764648
4741408751.33404,-79.0250396728516
4741835645.67769,-62.6698455810547
4742262540.02135,-78.0734634399414
4742689434.365,-63.8297386169434
4743116328.70864,-78.7424163818359
4743543223.05229,-61.3311157226563
4743970117.39594,-71.8099212646484
4744397011.73959,-64.5385437011719
4744823906.08324,-75.1253814697266
4745250800.42689,-63.5678520202637
4745677694.77054,-79.5946960449219
4746104589.11419,-63.119701385498
4746531483.45784,-99.535888671875
4746958377.80149,-58.8726654052734
4747385272.14514,-81.0259399414063
4747812166.48879,-64.7126312255859
4748239060.83244,-74.5035400390625
4748665955.17609,-60.547908782959
4749092849.51974,-67.9473342895508
4749519743.86339,-62.3663063049316
4749946638.20704,-87.0580520629883
4750373532.55069,-62.954418182373
4750800426.89434,-72.7703094482422
4751227321.23799,-63.6424789428711
4751654215.58164,-82.2438049316406
4752081109.92529,-64.1299057006836
4752508004.26894,-80.2236251831055
4752934898.61259,-62.4066390991211
4753361792.95624,-75.9141159057617
4753788687.29989,-60.9141464233398
4754215581.64354,-77.2026214599609
4754642475.98719,-62.2063255310059
4755069370.33084,-89.9414443969727
4755496264.67449,-61.2172622680664
4755923159.01814,-86.1206665039063
4756350053.36179,-61.2255096435547
4756776947.70544,-86.4184799194336
4757203842.04909,-63.643611907959
4757630736.39274,-83.9837951660156
4758057630.73639,-64.3228530883789
4758484525.08004,-81.7401962280273
4758911419.42369,-64.3002319335938
4759338313.76734,-71.1513900756836
4759765208.11099,-61.7633972167969
4760192102.45464,-84.5347518920898
4760618996.79829,-63.0489616394043
4761045891.14194,-76.9474258422852
4761472785.48559,-62.7389793395996
4761899679.82924,-79.3346633911133
4762326574.17289,-61.6756896972656
4762753468.51654,-79.8213500976563
4763180362.86019,-59.8032341003418
4763607257.20384,-72.4831695556641
4764034151.54749,-58.913387298584
4764461045.89114,-77.8498382568359
4764887940.23479,-64.4630508422852
4765314834.57844,-80.37451171875
4765741728.92209,-61.5117111206055
4766168623.26574,-75.3116912841797
4766595517.60939,-61.9087371826172
4767022411.95304,-73.2988662719727
4767449306.29669,-61.4098777770996
4767876200.64034,-83.2162628173828
4768303094.98399,-64.0447845458984
4768729989.32764,-77.1421737670898
4769156883.67129,-64.7232971191406
4769583778.01494,-82.4199142456055
4770010672.35859,-62.5972862243652
4770437566.70224,-76.6861038208008
4770864461.04589,-64.4384613037109
4771291355.38954,-80.8967132568359
4771718249.73319,-63.7551345825195
4772145144.07684,-83.1531295776367
4772572038.42049,-63.7802848815918
4772998932.76414,-77.058464050293
4773425827.10779,-64.0700149536133
4773852721.45144,-77.4635772705078
4774279615.79509,-62.5179862976074
4774706510.13874,-82.9985427856445
4775133404.48239,-64.4429473876953
4775560298.82604,-76.2020111083984
4775987193.16969,-61.8649520874023
4776414087.51334,-74.0737991333008
4776840981.85699,-60.8641319274902
4777267876.20064,-74.7919921875
4777694770.54429,-59.6384201049805
4778121664.88794,-77.0329742431641
4778548559.23159,-64.3884735107422
4778975453.57524,-72.9917221069336
4779402347.91889,-64.2975082397461
4779829242.26254,-77.6903381347656
4780256136.60619,-63.6244659423828
4780683030.94984,-82.1691970825195
4781109925.29349,-64.7953796386719
4781536819.63714,-77.4488677978516
4781963713.98079,-63.6659469604492
4782390608.32444,-71.2836456298828
4782817502.66809,-61.822151184082
4783244397.01174,-85.4276580810547
4783671291.35539,-62.4021797180176
4784098185.69904,-77.0466079711914
4784525080.04269,-61.0823936462402
4784951974.38634,-76.2273101806641
4785378868.72999,-61.0641822814941
4785805763.07364,-81.4367065429688
4786232657.41729,-62.9942893981934
4786659551.76094,-83.4498596191406
4787086446.10459,-61.3085060119629
4787513340.44824,-74.1442565917969
4787940234.79189,-64.1822662353516
4788367129.13554,-72.395263671875
4788794023.47919,-62.1753196716309
4789220917.82284,-73.7896041870117
4789647812.16649,-61.4537734985352
4790074706.51014,-74.2329330444336
4790501600.85379,-64.1313095092773
4790928495.19744,-70.8406295776367
4791355389.54109,-63.3612594604492
4791782283.88474,-74.3185043334961
4792209178.22839,-60.946418762207
4792636072.57204,-76.0163726806641
4793062966.91569,-59.3951301574707
4793489861.25934,-88.413444519043
4793916755.60299,-61.8242568969727
4794343649.94664,-76.4517822265625
4794770544.29029,-64.0711212158203
4795197438.63394,-84.6898422241211
4795624332.97759,-64.9774551391602
4796051227.32124,-82.2874984741211
4796478121.66489,-62.3252334594727
4796905016.00854,-81.3160781860352
4797331910.35219,-63.287425994873
4797758804.69584,-74.9553604125977
4798185699.03949,-59.5313301086426
4798612593.38314,-76.8766479492188
4799039487.72679,-64.5907974243164
4799466382.07044,-82.6534118652344
4799893276.41409,-61.7695350646973
4800320170.75774,-79.3737335205078
4800747065.10139,-65.694694519043
4801173959.44504,-74.0115661621094
4801600853.78869,-62.7952919006348
4802027748.13234,-82.1869201660156
4802454642.47599,-66.1472625732422
4802881536.81964,-79.3294143676758
4803308431.16329,-64.7699127197266
4803735325.50694,-81.3702545166016
4804162219.85059,-64.9013900756836
4804589114.19424,-84.8706817626953
4805016008.53789,-63.1631889343262
4805442902.88154,-74.6763000488281
4805869797.22519,-61.996768951416
4806296691.56884,-85.4621505737305
4806723585.91249,-62.9094848632813
4807150480.25614,-77.2881088256836
4807577374.59979,-59.9939155578613
4808004268.94344,-74.9546127319336
4808431163.28709,-63.2444610595703
4808858057.63074,-73.2075881958008
4809284951.97439,-62.4250144958496
4809711846.31804,-76.2703247070313
4810138740.66169,-62.0873527526855
4810565635.00534,-73.9453887939453
4810992529.34899,-64.7548446655273
4811419423.69264,-80.3500366210938
4811846318.03629,-65.0161590576172
4812273212.37994,-76.9814987182617
4812700106.72359,-63.4144020080566
4813127001.06724,-80.4632949829102
4813553895.41089,-65.3917922973633
4813980789.75454,-71.5842056274414
4814407684.09819,-63.7922439575195
4814834578.44184,-74.968994140625
4815261472.78549,-61.9891166687012
4815688367.12914,-87.2215270996094
4816115261.47279,-63.393253326416
4816542155.81644,-73.6792602539063
4816969050.16009,-65.432373046875
4817395944.50374,-73.3482131958008
4817822838.84739,-63.9129371643066
4818249733.19104,-76.528694152832
4818676627.53469,-63.728141784668
4819103521.87834,-74.802001953125
4819530416.22198,-66.5485000610352
4819957310.56563,-75.4983901977539
4820384204.90928,-65.3053970336914
4820811099.25293,-83.8212203979492
4821237993.59659,-65.0551910400391
4821664887.94024,-75.1376190185547
4822091782.28389,-64.8329162597656
4822518676.62753,-72.2482604980469
4822945570.97118,-62.6799583435059
4823372465.31483,-78.1318359375
4823799359.65848,-63.8702278137207
4824226254.00213,-71.6699447631836
4824653148.34578,-63.4678916931152
4825080042.68943,-78.4361801147461
4825506937.03308,-62.6922073364258
4825933831.37673,-85.1943283081055
4826360725.72038,-64.7739562988281
4826787620.06403,-83.2692031860352
4827214514.40768,-63.5506935119629
4827641408.75133,-72.8180847167969
4828068303.09498,-64.9981918334961
4828495197.43863,-81.1526718139648
4828922091.78228,-61.071834564209
4829348986.12593,-90.785888671875
4829775880.46958,-62.3848419189453
4830202774.81323,-80.3722457885742
4830629669.15688,-61.9457588195801
4831056563.50053,-70.8118667602539
4831483457.84418,-61.4809494018555
4831910352.18783,-74.1738739013672
4832337246.53148,-60.8684234619141
4832764140.87513,-82.9523620605469
4833191035.21878,-64.4847183227539
4833617929.56243,-72.9907073974609
4834044823.90608,-63.9023208618164
4834471718.24973,-80.6932525634766
4834898612.59338,-62.719482421875
4835325506.93703,-80.9361877441406
4835752401.28068,-63.0770683288574
4836179295.62433,-78.1585388183594
4836606189.96798,-64.731086730957
4837033084.31163,-72.8872451782227
4837459978.65528,-59.3605766296387
4837886872.99893,-87.5143585205078
4838313767.34258,-65.0545425415039
4838740661.68623,-83.374870300293
4839167556.02988,-66.4799880981445
4839594450.37353,-77.7023086547852
4840021344.71718,-65.2655487060547
4840448239.06083,-76.3144226074219
