Trace
Swept SA
A.14.05,N9020A
526 B25 FS1 MPB RTL ,01
Segment,0
Number of Points,938
Sweep Time,0.001061933333
Start Frequency,4700000000
Stop Frequency,5100000004
Average Count,1
Average Type,LogPower(Video)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,3000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,20
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
4700000000,-46.4628677368164
4700426894.34792,-47.9355964660645
4700853788.69584,-46.425952911377
4701280683.04376,-48.6821250915527
4701707577.39168,-47.4245681762695
4702134471.73959,-53.7478790283203
4702561366.08751,-49.775463104248
4702988260.43543,-59.7396507263184
4703415154.78335,-52.7576713562012
4703842049.13127,-68.9622039794922
4704268943.47919,-58.1717834472656
4704695837.82711,-72.2699890136719
4705122732.17503,-62.6481132507324
4705549626.52295,-84.0618743896484
4705976520.87086,-60.6548004150391
4706403415.21878,-76.1390991210938
4706830309.5667,-62.7308311462402
4707257203.91462,-78.5289459228516
4707684098.26254,-63.0069999694824
4708110992.61046,-71.1125335693359
4708537886.95838,-62.4034538269043
4708964781.3063,-70.1356353759766
4709391675.65422,-59.5833358764648
4709818570.00213,-76.4522476196289
4710245464.35005,-61.9268836975098
4710672358.69797,-73.4344329833984
4711099253.04589,-61.6430320739746
4711526147.39381,-75.093505859375
4711953041.74173,-62.5173568725586
4712379936.08965,-80.3396453857422
4712806830.43757,-63.5868492126465
4713233724.78549,-72.1261596679688
4713660619.1334,-59.990966796875
4714087513.48132,-80.4443283081055
4714514407.82924,-62.1952018737793
4714941302.17716,-82.7815933227539
4715368196.52508,-59.2908935546875
4715795090.873,-82.4451522827148
4716221985.22092,-62.3858757019043
4716648879.56884,-79.8318786621094
4717075773.91676,-61.6628570556641
4717502668.26467,-70.3572387695313
4717929562.61259,-63.7443580627441
4718356456.96051,-78.8003463745117
4718783351.30843,-63.4005699157715
4719210245.65635,-79.273078918457
4719637140.00427,-62.8583488464355
4720064034.35219,-82.8560485839844
4720490928.70011,-60.2458114624023
4720917823.04803,-82.8723831176758
4721344717.39594,-60.4473457336426
4721771611.74386,-86.9668731689453
4722198506.09178,-61.6351623535156
4722625400.4397,-82.220085144043
4723052294.78762,-62.365852355957
4723479189.13554,-71.0359802246094
4723906083.48346,-62.6768913269043
4724332977.83138,-81.2877731323242
4724759872.1793,-62.930606842041
4725186766.52721,-82.8511428833008
4725613660.87513,-60.4488868713379
4726040555.22305,-77.5751953125
4726467449.57097,-63.8966369628906
4726894343.91889,-81.2515106201172
4727321238.26681,-61.9492149353027
4727748132.61473,-81.1054153442383
4728175026.96265,-63.6309127807617
4728601921.31057,-75.5568084716797
4729028815.65848,-60.1452713012695
4729455710.0064,-71.9498977661133
4729882604.35432,-61.0721855163574
4730309498.70224,-81.4388275146484
4730736393.05016,-61.5000801086426
4731163287.39808,-93.5691146850586
4731590181.746,-62.6019134521484
4732017076.09392,-74.7791595458984
4732443970.44184,-58.7708511352539
4732870864.78975,-72.0585861206055
4733297759.13767,-61.230842590332
4733724653.48559,-83.5663833618164
4734151547.83351,-62.2216987609863
4734578442.18143,-75.4241790771484
4735005336.52935,-62.4981956481934
4735432230.87727,-75.7976913452148
4735859125.22519,-63.7646522521973
4736286019.57311,-77.1427841186523
4736712913.92102,-60.1232032775879
4737139808.26894,-78.1615676879883
4737566702.61686,-61.0956878662109
4737993596.96478,-76.7278671264648
4738420491.3127,-60.8136329650879
4738847385.66062,-75.3257675170898
4739274280.00854,-63.6197814941406
4739701174.35646,-80.6233520507813
4740128068.70438,-63.5640869140625
4740554963.05229,-80.9777526855469
4740981857.40021,-61.7871742248535
4741408751.74813,-72.5584869384766
4741835646.09605,-61.8946342468262
4742262540.44397,-76.6338653564453
4742689434.79189,-61.2017517089844
4743116329.13981,-70.8772735595703
4743543223.48773,-61.4319496154785
4743970117.83565,-77.7821655273438
4744397012.18356,-57.0893707275391
4744823906.53148,-71.0767593383789
4745250800.8794,-63.3085632324219
4745677695.22732,-80.1416320800781
4746104589.57524,-61.8006362915039
4746531483.92316,-83.0433197021484
4746958378.27108,-63.4286842346191
4747385272.619,-74.3418350219727
4747812166.96692,-62.3440780639648
4748239061.31483,-71.4728012084961
4748665955.66275,-65.308235168457
4749092850.01067,-79.1280670166016
4749519744.35859,-63.2616004943848
4749946638.70651,-70.3795394897461
4750373533.05443,-60.4888458251953
4750800427.40235,-77.3322067260742
4751227321.75027,-60.1781311035156
4751654216.09819,-78.6670074462891
4752081110.44611,-60.8029899597168
4752508004.79402,-85.5425033569336
4752934899.14194,-64.144172668457
4753361793.48986,-73.391960144043
4753788687.83778,-60.156566619873
4754215582.1857,-77.8862533569336
4754642476.53362,-60.8255195617676
4755069370.88154,-77.299934387207
4755496265.22946,-60.3950080871582
4755923159.57737,-72.7214431762695
4756350053.92529,-63.1820487976074
4756776948.27321,-82.8593215942383
4757203842.62113,-62.5501670837402
4757630736.96905,-71.0659561157227
4758057631.31697,-60.4616394042969
4758484525.66489,-81.6587600708008
4758911420.01281,-63.9498100280762
4759338314.36073,-74.8864822387695
4759765208.70864,-63.4649124145508
4760192103.05656,-77.6573486328125
4760618997.40448,-63.1813888549805
4761045891.7524,-75.1043395996094
4761472786.10032,-58.834400177002
4761899680.44824,-75.7145004272461
4762326574.79616,-63.8196334838867
4762753469.14408,-77.5600891113281
4763180363.492,-61.3180732727051
4763607257.83991,-78.8243408203125
4764034152.18783,-61.0352821350098
4764461046.53575,-85.0552978515625
4764887940.88367,-61.5778274536133
4765314835.23159,-81.1338348388672
4765741729.57951,-60.102237701416
4766168623.92743,-74.2976150512695
4766595518.27535,-61.8368492126465
4767022412.62327,-76.9362030029297
4767449306.97118,-64.3086013793945
4767876201.3191,-86.1649627685547
4768303095.66702,-62.2935676574707
4768729990.01494,-74.8059387207031
4769156884.36286,-61.85791015625
4769583778.71078,-71.1115798950195
4770010673.0587,-60.5557670593262
4770437567.40662,-80.3418045043945
4770864461.75454,-62.9687232971191
4771291356.10245,-83.3037643432617
4771718250.45037,-62.9431610107422
4772145144.79829,-75.8259429931641
4772572039.14621,-64.4073181152344
4772998933.49413,-71.4289779663086
4773425827.84205,-61.7109985351563
4773852722.18997,-80.8495559692383
4774279616.53789,-64.572998046875
4774706510.88581,-78.6324157714844
4775133405.23372,-62.7453765869141
4775560299.58164,-76.593864440918
4775987193.92956,-62.3898277282715
4776414088.27748,-79.3265228271484
4776840982.6254,-61.7660293579102
4777267876.97332,-77.6238327026367
4777694771.32124,-61.9506568908691
4778121665.66916,-80.5791778564453
4778548560.01708,-62.8062858581543
4778975454.365,-83.4823379516602
4779402348.71291,-61.0595016479492
4779829243.06083,-81.9156112670898
4780256137.40875,-61.1155204772949
4780683031.75667,-87.4491119384766
4781109926.10459,-62.2952537536621
4781536820.45251,-86.6967010498047
4781963714.80043,-67.8044967651367
4782390609.14835,-74.8019104003906
4782817503.49626,-63.1326713562012
4783244397.84418,-82.8430099487305
4783671292.1921,-61.1073455810547
4784098186.54002,-79.8843231201172
4784525080.88794,-62.2429847717285
4784951975.23586,-78.6659545898438
4785378869.58378,-63.0442276000977
4785805763.9317,-79.6715087890625
4786232658.27962,-64.2563018798828
4786659552.62753,-77.3117904663086
4787086446.97545,-62.2772750854492
4787513341.32337,-78.3518905639648
4787940235.67129,-58.577033996582
4788367130.01921,-75.7893295288086
4788794024.36713,-61.7499160766602
4789220918.71505,-84.6734008789063
4789647813.06297,-64.9433746337891
4790074707.41089,-75.4919967651367
4790501601.7588,-62.6005592346191
4790928496.10672,-75.6567840576172
4791355390.45464,-64.3946990966797
4791782284.80256,-78.2777328491211
4792209179.15048,-61.2324295043945
4792636073.4984,-75.1213455200195
4793062967.84632,-61.5508193969727
4793489862.19424,-67.0585174560547
4793916756.54216,-61.3687171936035
4794343650.89007,-74.0001525878906
4794770545.23799,-60.6795082092285
4795197439.58591,-61.224910736084
4795624333.93383,-43.7709846496582
4796051228.28175,-43.8203048706055
4796478122.62967,-32.3127517700195
4796905016.97759,-27.7452011108398
4797331911.32551,-23.8868656158447
4797758805.67343,-20.6635150909424
4798185700.02135,-18.0428123474121
4798612594.36926,-15.8880596160889
4799039488.71718,-14.248496055603
4799466383.0651,-13.1630764007568
4799893277.41302,-12.5575695037842
4800320171.76094,-12.4593544006348
4800747066.10886,-12.5089244842529
4801173960.45678,-12.9436006546021
4801600854.8047,-13.8603954315186
4802027749.15261,-15.2137432098389
4802454643.50053,-17.0793418884277
4802881537.84845,-19.3947200775146
4803308432.19637,-22.3700714111328
4803735326.54429,-25.9657115936279
4804162220.89221,-30.0346488952637
4804589115.24013,-35.2302436828613
4805016009.58805,-41.1277046203613
4805442903.93597,-56.2677230834961
4805869798.28389,-47.5649337768555
4806296692.6318,-79.546760559082
4806723586.97972,-62.7846603393555
4807150481.32764,-79.2666702270508
4807577375.67556,-64.4109954833984
4808004270.02348,-97.8259506225586
4808431164.3714,-63.3996467590332
4808858058.71932,-82.4252777099609
4809284953.06724,-66.8737030029297
4809711847.41515,-77.7344284057617
4810138741.76307,-62.3520431518555
4810565636.11099,-77.4776077270508
4810992530.45891,-64.1265869140625
4811419424.80683,-78.3415679931641
4811846319.15475,-61.5936698913574
4812273213.50267,-81.9887313842773
4812700107.85059,-64.6234893798828
4813127002.19851,-87.8061599731445
4813553896.54642,-61.8318710327148
4813980790.89434,-69.4757843017578
4814407685.24226,-60.5836219787598
4814834579.59018,-83.4980392456055
4815261473.9381,-64.0896759033203
4815688368.28602,-71.5278015136719
4816115262.63394,-61.2929153442383
4816542156.98186,-70.7587356567383
4816969051.32978,-62.9836769104004
4817395945.67769,-78.9264907836914
4817822840.02561,-61.4995155334473
4818249734.37353,-89.2806854248047
4818676628.72145,-62.6669998168945
4819103523.06937,-83.7668609619141
4819530417.41729,-62.4932289123535
4819957311.76521,-74.3953628540039
4820384206.11313,-61.7741355895996
4820811100.46105,-83.1466598510742
4821237994.80896,-61.631965637207
4821664889.15688,-86.0970993041992
4822091783.5048,-59.1174201965332
4822518677.85272,-77.5303573608398
4822945572.20064,-59.6984252929688
4823372466.54856,-89.122184753418
4823799360.89648,-60.9982032775879
4824226255.2444,-89.5121078491211
4824653149.59232,-64.011848449707
4825080043.94024,-73.5261764526367
4825506938.28815,-62.976734161377
4825933832.63607,-79.0187606811523
4826360726.98399,-61.3169174194336
4826787621.33191,-80.874885559082
4827214515.67983,-64.1005325317383
4827641410.02775,-76.8860549926758
4828068304.37567,-65.3973693847656
4828495198.72359,-82.0449829101563
4828922093.0715,-62.2640075683594
4829348987.41942,-77.6276931762695
4829775881.76734,-62.5370750427246
4830202776.11526,-76.7924728393555
4830629670.46318,-65.0472946166992
4831056564.8111,-79.0888290405273
4831483459.15902,-60.9607162475586
4831910353.50694,-84.1764602661133
4832337247.85486,-65.7080841064453
4832764142.20278,-78.0078125
4833191036.55069,-64.4789428710938
4833617930.89861,-85.6486206054688
4834044825.24653,-62.3223075866699
4834471719.59445,-82.6710662841797
4834898613.94237,-65.1309127807617
4835325508.29029,-76.6927642822266
4835752402.63821,-62.6891250610352
4836179296.98613,-81.8796234130859
4836606191.33404,-66.414192199707
4837033085.68196,-76.4054870605469
4837459980.02988,-63.3822479248047
4837886874.3778,-78.4424057006836
4838313768.72572,-59.5257110595703
4838740663.07364,-72.4810104370117
4839167557.42156,-63.9357376098633
4839594451.76948,-78.807746887207
4840021346.1174,-59.7514152526855
4840448240.46531,-74.3125534057617
