Trace
Swept SA
A.14.05,N9020A
526 B25 FS1 MPB RTL ,01
Segment,0
Number of Points,938
Sweep Time,0.0016866
Start Frequency,4400000000
Stop Frequency,5400000000
Average Count,1
Average Type,LogPower(Video)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,3000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,20
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
4400000000,-63.2710647583008
4401067235.85913,-74.1728973388672
4402134471.71825,-63.6013526916504
4403201707.57737,-78.3601303100586
4404268943.4365,-61.0043907165527
4405336179.29562,-81.9652938842773
4406403415.15475,-61.396411895752
4407470651.01387,-80.3979797363281
4408537886.873,-62.4234199523926
4409605122.73212,-83.6334686279297
4410672358.59125,-64.058219909668
4411739594.45037,-84.4591064453125
4412806830.3095,-61.120979309082
4413874066.16862,-78.9826583862305
4414941302.02775,-61.2102088928223
4416008537.88687,-77.1625213623047
4417075773.746,-62.0681838989258
4418143009.60512,-87.3262634277344
4419210245.46425,-63.0165519714355
4420277481.32337,-81.2993469238281
4421344717.1825,-61.8674125671387
4422411953.04162,-80.954963684082
4423479188.90075,-59.7275772094727
4424546424.75987,-80.8134231567383
4425613660.619,-61.4608612060547
4426680896.47812,-83.0530776977539
4427748132.33725,-61.6948738098145
4428815368.19637,-76.9666366577148
4429882604.0555,-60.4288787841797
4430949839.91462,-81.4985580444336
4432017075.77375,-62.6450119018555
4433084311.63287,-75.586296081543
4434151547.492,-62.294750213623
4435218783.35112,-75.9114379882813
4436286019.21025,-63.0307235717773
4437353255.06937,-79.302734375
4438420490.9285,-60.8445892333984
4439487726.78762,-81.6577758789063
4440554962.64674,-60.5766372680664
4441622198.50587,-77.6100463867188
4442689434.365,-62.8567123413086
4443756670.22412,-82.6130599975586
4444823906.08324,-60.8557815551758
4445891141.94237,-80.0300598144531
4446958377.80149,-62.8727493286133
4448025613.66062,-76.2366180419922
4449092849.51974,-61.3848037719727
4450160085.37887,-83.165901184082
4451227321.23799,-60.8647689819336
4452294557.09712,-75.1899337768555
4453361792.95624,-60.9356269836426
4454429028.81537,-77.9014205932617
4455496264.67449,-59.8779411315918
4456563500.53362,-76.851432800293
4457630736.39274,-61.8698768615723
4458697972.25187,-84.6890487670898
4459765208.11099,-64.8907241821289
4460832443.97012,-83.1599044799805
4461899679.82924,-61.0685768127441
4462966915.68837,-80.6055221557617
4464034151.54749,-63.7947158813477
4465101387.40662,-88.9686279296875
4466168623.26574,-60.4120597839355
4467235859.12487,-75.6503601074219
4468303094.98399,-61.9057083129883
4469370330.84312,-76.4656677246094
4470437566.70224,-60.8167915344238
4471504802.56137,-80.8718643188477
4472572038.42049,-64.7364654541016
4473639274.27962,-75.4012603759766
4474706510.13874,-61.5331344604492
4475773745.99787,-82.6185913085938
4476840981.85699,-58.837646484375
4477908217.71612,-75.5237731933594
4478975453.57524,-60.0498161315918
4480042689.43437,-80.1894073486328
4481109925.29349,-61.3626708984375
4482177161.15261,-83.732795715332
4483244397.01174,-64.6958618164063
4484311632.87086,-79.376350402832
4485378868.72999,-62.9829864501953
4486446104.58911,-73.69775390625
4487513340.44824,-60.8475189208984
4488580576.30736,-80.0963668823242
4489647812.16649,-60.7595825195313
4490715048.02561,-77.6331176757813
4491782283.88474,-61.9438247680664
4492849519.74386,-80.6047286987305
4493916755.60299,-60.9342803955078
4494983991.46211,-79.105712890625
4496051227.32124,-60.1768188476563
4497118463.18036,-82.7622833251953
4498185699.03949,-61.9504776000977
4499252934.89861,-78.6505661010742
4500320170.75774,-60.7895355224609
4501387406.61686,-88.9994659423828
4502454642.47599,-62.8130760192871
4503521878.33511,-78.2556915283203
4504589114.19424,-60.5122451782227
4505656350.05336,-76.1062622070313
4506723585.91249,-63.7388763427734
4507790821.77161,-74.8938751220703
4508858057.63074,-62.4676933288574
4509925293.48986,-79.8182067871094
4510992529.34899,-63.1418876647949
4512059765.20811,-80.2278213500977
4513127001.06724,-62.3594398498535
4514194236.92636,-81.5796279907227
4515261472.78549,-62.4523010253906
4516328708.64461,-77.6369552612305
4517395944.50374,-59.994930267334
4518463180.36286,-84.0157241821289
4519530416.22198,-67.856803894043
4520597652.08111,-81.4378280639648
4521664887.94024,-66.4893417358398
4522732123.79936,-76.3736343383789
4523799359.65848,-63.5336875915527
4524866595.51761,-77.1095657348633
4525933831.37673,-61.0270767211914
4527001067.23586,-83.5008316040039
4528068303.09498,-62.4266548156738
4529135538.95411,-74.4576950073242
4530202774.81323,-63.6579322814941
4531270010.67236,-77.4756011962891
4532337246.53148,-61.5731735229492
4533404482.39061,-86.425178527832
4534471718.24973,-60.1520652770996
4535538954.10886,-81.9886322021484
4536606189.96798,-62.8892288208008
4537673425.82711,-83.5285797119141
4538740661.68623,-60.43994140625
4539807897.54536,-79.5785522460938
4540875133.40448,-61.2647972106934
4541942369.26361,-80.3019866943359
4543009605.12273,-65.5783996582031
4544076840.98186,-86.2552337646484
4545144076.84098,-63.9147605895996
4546211312.70011,-78.837776184082
4547278548.55923,-60.973804473877
4548345784.41836,-78.6234359741211
4549413020.27748,-62.4512825012207
4550480256.13661,-80.6293334960938
4551547491.99573,-63.6619834899902
4552614727.85486,-85.0024642944336
4553681963.71398,-62.8552780151367
4554749199.57311,-84.8344192504883
4555816435.43223,-60.9513168334961
4556883671.29136,-80.7058029174805
4557950907.15048,-61.3807792663574
4559018143.00961,-82.1347808837891
4560085378.86873,-61.0040130615234
4561152614.72785,-85.8391189575195
4562219850.58698,-61.6929092407227
4563287086.44611,-80.3589553833008
4564354322.30523,-62.9212455749512
4565421558.16435,-81.5343780517578
4566488794.02348,-60.9415817260742
4567556029.8826,-76.8427963256836
4568623265.74173,-62.4315567016602
4569690501.60085,-73.1081085205078
4570757737.45998,-61.348518371582
4571824973.3191,-86.5349197387695
4572892209.17823,-63.2471199035645
4573959445.03735,-81.3509368896484
4575026680.89648,-60.7948951721191
4576093916.7556,-90.163818359375
4577161152.61473,-58.9129791259766
4578228388.47385,-71.2071228027344
4579295624.33298,-60.9739990234375
4580362860.1921,-86.4426193237305
4581430096.05123,-62.8564300537109
4582497331.91035,-80.7926864624023
4583564567.76948,-63.4042167663574
4584631803.6286,-80.0756454467773
4585699039.48773,-63.7182922363281
4586766275.34685,-78.7383193969727
4587833511.20598,-57.0703125
4588900747.0651,-80.7508316040039
4589967982.92423,-60.4924354553223
4591035218.78335,-80.5350189208984
4592102454.64248,-63.2178382873535
4593169690.5016,-86.171501159668
4594236926.36073,-59.2803077697754
4595304162.21985,-87.1433486938477
4596371398.07898,-58.531665802002
4597438633.9381,-64.6780700683594
4598505869.79723,-49.1695671081543
4599573105.65635,-50.1941986083984
4600640341.51548,-47.3273391723633
4601707577.3746,-56.9992332458496
4602774813.23372,-48.9900245666504
4603842049.09285,-77.3557586669922
4604909284.95197,-60.8521575927734
4605976520.8111,-85.1169509887695
4607043756.67022,-61.4557952880859
4608110992.52935,-78.6431503295898
4609178228.38847,-61.9352340698242
4610245464.2476,-78.6228332519531
4611312700.10672,-61.5716972351074
4612379935.96585,-79.1911926269531
4613447171.82497,-62.4406509399414
4614514407.6841,-83.4085693359375
4615581643.54322,-63.9649848937988
4616648879.40235,-76.6586990356445
4617716115.26147,-62.0487899780273
4618783351.1206,-78.7001419067383
4619850586.97972,-62.6313781738281
4620917822.83885,-75.6330337524414
4621985058.69797,-63.4498863220215
4623052294.5571,-79.8903045654297
4624119530.41622,-62.4685287475586
4625186766.27535,-73.1690979003906
4626254002.13447,-60.7985420227051
4627321237.9936,-75.3222503662109
4628388473.85272,-62.1969108581543
4629455709.71185,-83.1476364135742
4630522945.57097,-61.7961540222168
4631590181.4301,-80.4413909912109
4632657417.28922,-62.4448890686035
4633724653.14835,-80.2170181274414
4634791889.00747,-58.9133071899414
4635859124.8666,-74.8936614990234
4636926360.72572,-60.6218185424805
4637993596.58485,-74.3275451660156
4639060832.44397,-60.2511978149414
4640128068.30309,-80.2516555786133
4641195304.16222,-62.0236511230469
4642262540.02135,-76.6296691894531
4643329775.88047,-62.4989395141602
4644397011.73959,-86.1968612670898
4645464247.59872,-58.7718620300293
4646531483.45784,-88.7343826293945
4647598719.31697,-60.4796409606934
4648665955.17609,-73.7436676025391
4649733191.03522,-60.2655601501465
4650800426.89434,-100.77515411377
4651867662.75347,-61.950553894043
4652934898.61259,-77.9360504150391
4654002134.47172,-62.6036987304688
4655069370.33084,-77.4728240966797
4656136606.18997,-55.5164909362793
4657203842.04909,-80.4182357788086
4658271077.90822,-59.6120796203613
4659338313.76734,-85.7257385253906
4660405549.62647,-60.349739074707
4661472785.48559,-79.3374557495117
4662540021.34472,-56.9923362731934
4663607257.20384,-83.1566009521484
4664674493.06297,-59.5156898498535
4665741728.92209,-76.1345977783203
4666808964.78122,-60.3898429870605
4667876200.64034,-82.6398391723633
4668943436.49947,-61.7049598693848
4670010672.35859,-72.5244903564453
4671077908.21772,-60.3191871643066
4672145144.07684,-83.1916732788086
4673212379.93597,-60.4223937988281
4674279615.79509,-79.9487075805664
4675346851.65422,-59.9935035705566
4676414087.51334,-74.0967254638672
4677481323.37247,-62.7593841552734
4678548559.23159,-75.1480026245117
4679615795.09072,-56.7582092285156
4680683030.94984,-71.2818145751953
4681750266.80896,-59.7306098937988
4682817502.66809,-73.1782684326172
4683884738.52721,-60.2512588500977
4684951974.38634,-79.9627838134766
4686019210.24546,-58.3341255187988
4687086446.10459,-85.7404327392578
4688153681.96371,-62.0091209411621
4689220917.82284,-75.3296356201172
4690288153.68196,-61.1370658874512
4691355389.54109,-86.2077484130859
4692422625.40021,-60.6442413330078
4693489861.25934,-75.6205673217773
4694557097.11846,-62.0887069702148
4695624332.97759,-78.1490631103516
4696691568.83671,-59.815860748291
4697758804.69584,-61.7286911010742
4698826040.55496,-49.3859596252441
4699893276.41409,-50.3080940246582
4700960512.27321,-47.7605934143066
4702027748.13234,-57.7467002868652
4703094983.99146,-51.0299072265625
4704162219.85059,-79.3754653930664
4705229455.70971,-61.7301635742188
4706296691.56884,-81.6180725097656
4707363927.42796,-59.6991119384766
4708431163.28709,-77.163932800293
4709498399.14621,-60.795955657959
4710565635.00534,-82.176513671875
4711632870.86446,-58.0598945617676
4712700106.72359,-77.5123901367188
4713767342.58271,-59.7881278991699
4714834578.44184,-78.1080856323242
4715901814.30096,-61.4906387329102
4716969050.16009,-78.2091751098633
4718036286.01921,-59.4376258850098
4719103521.87834,-83.6495742797852
4720170757.73746,-61.7420501708984
4721237993.59659,-77.8329467773438
4722305229.45571,-61.0324974060059
4723372465.31483,-71.2600708007813
4724439701.17396,-61.6304016113281
4725506937.03308,-83.96826171875
4726574172.89221,-62.2180137634277
4727641408.75133,-74.4975280761719
4728708644.61046,-61.8480033874512
4729775880.46958,-80.848518371582
4730843116.32871,-57.9164924621582
4731910352.18783,-87.796272277832
4732977588.04696,-60.196662902832
4734044823.90608,-73.1626129150391
4735112059.76521,-60.3844680786133
4736179295.62433,-72.1546783447266
4737246531.48346,-61.085262298584
4738313767.34258,-79.5191421508789
4739381003.20171,-60.8512153625488
4740448239.06083,-78.4443283081055
4741515474.91996,-61.2425994873047
4742582710.77908,-80.4628601074219
4743649946.63821,-62.5747032165527
4744717182.49733,-72.0607299804688
4745784418.35646,-59.89111328125
4746851654.21558,-85.9940567016602
4747918890.07471,-62.4630546569824
4748986125.93383,-72.7847061157227
4750053361.79296,-60.9274368286133
4751120597.65208,-79.6868896484375
