Trace
Swept SA
A.14.05,N9020A
526 B25 FS1 MPB RTL ,01
Segment,0
Number of Points,938
Sweep Time,0.0016866
Start Frequency,4400000000
Stop Frequency,5400000000
Average Count,1
Average Type,LogPower(Video)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,3000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,20
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
4400000000,-60.275463104248
4401067235.85913,-81.6001663208008
4402134471.71825,-62.8840560913086
4403201707.57737,-78.172721862793
4404268943.4365,-63.5141983032227
4405336179.29562,-80.8658294677734
4406403415.15475,-62.9419822692871
4407470651.01387,-80.8793640136719
4408537886.873,-63.4758491516113
4409605122.73212,-77.3776931762695
4410672358.59125,-59.940372467041
4411739594.45037,-81.711181640625
4412806830.3095,-63.0825271606445
4413874066.16862,-88.9013671875
4414941302.02775,-63.3988494873047
4416008537.88687,-74.2845153808594
4417075773.746,-61.0921859741211
4418143009.60512,-85.9379653930664
4419210245.46425,-61.3217887878418
4420277481.32337,-81.1317825317383
4421344717.1825,-62.0151329040527
4422411953.04162,-86.3288192749023
4423479188.90075,-61.2849082946777
4424546424.75987,-92.7561416625977
4425613660.619,-62.2068214416504
4426680896.47812,-84.6714096069336
4427748132.33725,-60.1419525146484
4428815368.19637,-75.3843154907227
4429882604.0555,-62.2529907226563
4430949839.91462,-80.8334350585938
4432017075.77375,-60.5166358947754
4433084311.63287,-83.7536392211914
4434151547.492,-60.7697563171387
4435218783.35112,-74.5128555297852
4436286019.21025,-62.4126396179199
4437353255.06937,-86.8924255371094
4438420490.9285,-64.3722839355469
4439487726.78762,-79.0465469360352
4440554962.64674,-61.1616477966309
4441622198.50587,-78.7447891235352
4442689434.365,-61.5566101074219
4443756670.22412,-78.9905548095703
4444823906.08324,-60.4633255004883
4445891141.94237,-76.7110824584961
4446958377.80149,-60.8869514465332
4448025613.66062,-79.2799911499023
4449092849.51974,-59.3629951477051
4450160085.37887,-80.7479629516602
4451227321.23799,-60.6332664489746
4452294557.09712,-75.7110061645508
4453361792.95624,-59.4113655090332
4454429028.81537,-80.706672668457
4455496264.67449,-62.6155815124512
4456563500.53362,-73.9175643920898
4457630736.39274,-62.1866340637207
4458697972.25187,-83.5682754516602
4459765208.11099,-63.4598045349121
4460832443.97012,-96.252067565918
4461899679.82924,-63.0176277160645
4462966915.68837,-82.3686370849609
4464034151.54749,-62.0742301940918
4465101387.40662,-84.2716445922852
4466168623.26574,-62.4206428527832
4467235859.12487,-74.0775985717773
4468303094.98399,-64.385383605957
4469370330.84312,-78.6418151855469
4470437566.70224,-63.4162635803223
4471504802.56137,-78.1048355102539
4472572038.42049,-61.3917694091797
4473639274.27962,-76.4749984741211
4474706510.13874,-61.8418083190918
4475773745.99787,-82.816291809082
4476840981.85699,-63.7543716430664
4477908217.71612,-77.5529327392578
4478975453.57524,-61.792350769043
4480042689.43437,-83.9589004516602
4481109925.29349,-62.1203880310059
4482177161.15261,-83.3638610839844
4483244397.01174,-62.7820892333984
4484311632.87086,-73.1330642700195
4485378868.72999,-62.6147842407227
4486446104.58911,-88.6948699951172
4487513340.44824,-63.1978454589844
4488580576.30736,-81.9101943969727
4489647812.16649,-63.5648384094238
4490715048.02561,-80.4038314819336
4491782283.88474,-59.6045227050781
4492849519.74386,-89.5187683105469
4493916755.60299,-59.4026718139648
4494983991.46211,-86.0670318603516
4496051227.32124,-61.3585968017578
4497118463.18036,-83.1054992675781
4498185699.03949,-63.2821846008301
4499252934.89861,-79.7492980957031
4500320170.75774,-62.5452995300293
4501387406.61686,-81.1760711669922
4502454642.47599,-60.9066505432129
4503521878.33511,-87.0609664916992
4504589114.19424,-61.1266555786133
4505656350.05336,-80.9869689941406
4506723585.91249,-62.7694931030273
4507790821.77161,-82.2733688354492
4508858057.63074,-63.1364860534668
4509925293.48986,-86.1261672973633
4510992529.34899,-61.4324264526367
4512059765.20811,-75.2045288085938
4513127001.06724,-62.8246536254883
4514194236.92636,-84.1011962890625
4515261472.78549,-65.4493713378906
4516328708.64461,-76.0752105712891
4517395944.50374,-59.6024742126465
4518463180.36286,-82.2151260375977
4519530416.22198,-62.8019104003906
4520597652.08111,-77.3045425415039
4521664887.94024,-62.2384719848633
4522732123.79936,-82.2935485839844
4523799359.65848,-62.2909088134766
4524866595.51761,-72.1737289428711
4525933831.37673,-62.2735290527344
4527001067.23586,-81.4209594726563
4528068303.09498,-60.1557006835938
4529135538.95411,-74.2210464477539
4530202774.81323,-62.1064796447754
4531270010.67236,-76.0652618408203
4532337246.53148,-62.6116409301758
4533404482.39061,-78.3158950805664
4534471718.24973,-60.6496162414551
4535538954.10886,-78.3337860107422
4536606189.96798,-60.8563919067383
4537673425.82711,-83.7858047485352
4538740661.68623,-61.0146636962891
4539807897.54536,-75.3034286499023
4540875133.40448,-64.4544219970703
4541942369.26361,-77.5121688842773
4543009605.12273,-58.2319755554199
4544076840.98186,-81.3245468139648
4545144076.84098,-62.9872703552246
4546211312.70011,-80.7669830322266
4547278548.55923,-63.4703826904297
4548345784.41836,-82.3899841308594
4549413020.27748,-60.7425575256348
4550480256.13661,-80.86083984375
4551547491.99573,-64.2220001220703
4552614727.85486,-79.2265930175781
4553681963.71398,-62.1482696533203
4554749199.57311,-80.6144180297852
4555816435.43223,-63.0554389953613
4556883671.29136,-79.7856674194336
4557950907.15048,-64.1654510498047
4559018143.00961,-80.8111572265625
4560085378.86873,-62.4746208190918
4561152614.72785,-84.6147155761719
4562219850.58698,-61.8920745849609
4563287086.44611,-77.6191101074219
4564354322.30523,-63.6297225952148
4565421558.16435,-86.3768692016602
4566488794.02348,-60.5020904541016
4567556029.8826,-78.9829330444336
4568623265.74173,-59.3609924316406
4569690501.60085,-91.3639297485352
4570757737.45998,-64.236083984375
4571824973.3191,-79.1150054931641
4572892209.17823,-61.1055145263672
4573959445.03735,-81.142951965332
4575026680.89648,-61.8855400085449
4576093916.7556,-83.7397384643555
4577161152.61473,-64.2287750244141
4578228388.47385,-79.0349349975586
4579295624.33298,-61.1819877624512
4580362860.1921,-91.2527770996094
4581430096.05123,-63.8294868469238
4582497331.91035,-80.6824417114258
4583564567.76948,-63.839298248291
4584631803.6286,-80.7091598510742
4585699039.48773,-62.3277893066406
4586766275.34685,-79.1711959838867
4587833511.20598,-61.5909080505371
4588900747.0651,-83.9015045166016
4589967982.92423,-63.4564361572266
4591035218.78335,-78.078857421875
4592102454.64248,-62.1426277160645
4593169690.5016,-80.0267028808594
4594236926.36073,-63.8942375183105
4595304162.21985,-79.1854553222656
4596371398.07898,-60.571849822998
4597438633.9381,-65.3799285888672
4598505869.79723,-48.971134185791
4599573105.65635,-50.2823905944824
4600640341.51548,-47.0017623901367
4601707577.3746,-53.8228378295898
4602774813.23372,-47.5642471313477
4603842049.09285,-72.6573104858398
4604909284.95197,-59.4146194458008
4605976520.8111,-81.9986114501953
4607043756.67022,-61.7086143493652
4608110992.52935,-86.1115798950195
4609178228.38847,-59.4665832519531
4610245464.2476,-83.1669464111328
4611312700.10672,-63.7625427246094
4612379935.96585,-76.651252746582
4613447171.82497,-61.9533882141113
4614514407.6841,-72.6373443603516
4615581643.54322,-58.9563903808594
4616648879.40235,-81.6937484741211
4617716115.26147,-61.0117950439453
4618783351.1206,-78.3745651245117
4619850586.97972,-59.9371032714844
4620917822.83885,-77.7533264160156
4621985058.69797,-60.7335586547852
4623052294.5571,-80.2710037231445
4624119530.41622,-62.3141937255859
4625186766.27535,-84.4878540039063
4626254002.13447,-61.2858047485352
4627321237.9936,-77.0706634521484
4628388473.85272,-63.0046043395996
4629455709.71185,-78.3440933227539
4630522945.57097,-60.4938468933105
4631590181.4301,-78.2431945800781
4632657417.28922,-61.8201942443848
4633724653.14835,-78.7317123413086
4634791889.00747,-61.329044342041
4635859124.8666,-91.2812728881836
4636926360.72572,-60.8768424987793
4637993596.58485,-75.1153945922852
4639060832.44397,-61.206615447998
4640128068.30309,-75.0747604370117
4641195304.16222,-62.1713714599609
4642262540.02135,-78.6404571533203
4643329775.88047,-57.8872108459473
4644397011.73959,-83.4768600463867
4645464247.59872,-59.9903869628906
4646531483.45784,-72.859016418457
4647598719.31697,-57.8353385925293
4648665955.17609,-72.2936401367188
4649733191.03522,-59.6886329650879
4650800426.89434,-75.7549743652344
4651867662.75347,-59.5384941101074
4652934898.61259,-79.6852035522461
4654002134.47172,-59.5522422790527
4655069370.33084,-83.1663818359375
4656136606.18997,-61.6598243713379
4657203842.04909,-81.0010452270508
4658271077.90822,-59.2262382507324
4659338313.76734,-77.7465286254883
4660405549.62647,-60.1931991577148
4661472785.48559,-74.0819244384766
4662540021.34472,-61.0058250427246
4663607257.20384,-84.9042816162109
4664674493.06297,-59.5384712219238
4665741728.92209,-88.6263122558594
4666808964.78122,-60.2244834899902
4667876200.64034,-79.0011672973633
4668943436.49947,-62.0378875732422
4670010672.35859,-80.6359786987305
4671077908.21772,-62.0668640136719
4672145144.07684,-71.2923126220703
4673212379.93597,-58.2557983398438
4674279615.79509,-84.3730316162109
4675346851.65422,-60.3543586730957
4676414087.51334,-73.0781021118164
4677481323.37247,-58.9575576782227
4678548559.23159,-76.6355133056641
4679615795.09072,-59.2665481567383
4680683030.94984,-69.6877365112305
4681750266.80896,-60.7631950378418
4682817502.66809,-73.8308868408203
4683884738.52721,-59.3832969665527
4684951974.38634,-75.2569808959961
4686019210.24546,-60.6910667419434
4687086446.10459,-81.9128799438477
4688153681.96371,-62.181095123291
4689220917.82284,-81.3201065063477
4690288153.68196,-58.2619972229004
4691355389.54109,-76.974739074707
4692422625.40021,-60.262809753418
4693489861.25934,-76.7942581176758
4694557097.11846,-59.7464637756348
4695624332.97759,-75.9038314819336
4696691568.83671,-57.192138671875
4697758804.69584,-63.867359161377
4698826040.55496,-48.7487678527832
4699893276.41409,-51.9550857543945
4700960512.27321,-47.9818115234375
4702027748.13234,-60.7437744140625
4703094983.99146,-50.4875221252441
4704162219.85059,-84.2245712280273
4705229455.70971,-58.1877670288086
4706296691.56884,-80.6560363769531
4707363927.42796,-60.5060729980469
4708431163.28709,-81.9028091430664
4709498399.14621,-61.4912033081055
4710565635.00534,-79.2698440551758
4711632870.86446,-59.5459365844727
4712700106.72359,-78.1731033325195
4713767342.58271,-62.4089126586914
4714834578.44184,-72.7820053100586
4715901814.30096,-60.6226768493652
4716969050.16009,-74.5807952880859
4718036286.01921,-62.6081390380859
4719103521.87834,-76.2833023071289
4720170757.73746,-61.4363136291504
4721237993.59659,-84.5370407104492
4722305229.45571,-59.9315643310547
4723372465.31483,-77.6047821044922
4724439701.17396,-62.8834686279297
4725506937.03308,-81.8038711547852
4726574172.89221,-62.8853340148926
4727641408.75133,-77.9995040893555
4728708644.61046,-60.3443222045898
4729775880.46958,-85.1875839233398
4730843116.32871,-60.330020904541
4731910352.18783,-72.8917541503906
4732977588.04696,-61.6165580749512
4734044823.90608,-92.1974639892578
4735112059.76521,-59.2997016906738
4736179295.62433,-87.3083343505859
4737246531.48346,-59.0347900390625
4738313767.34258,-79.3170318603516
4739381003.20171,-58.2480697631836
4740448239.06083,-83.4205780029297
4741515474.91996,-59.5052108764648
4742582710.77908,-87.3161392211914
4743649946.63821,-60.3566665649414
4744717182.49733,-82.5328369140625
4745784418.35646,-63.2938690185547
4746851654.21558,-74.2438888549805
4747918890.07471,-61.8751068115234
4748986125.93383,-77.0914306640625
4750053361.79296,-58.5888671875
