Trace
Swept SA
A.14.05,N9020A
526 B25 FS1 MPB RTL ,01
Segment,0
Number of Points,938
Sweep Time,0.0016866
Start Frequency,4400000000
Stop Frequency,5400000000
Average Count,1
Average Type,LogPower(Video)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,3000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,20
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
4400000000,-61.1360740661621
4401067235.85913,-79.544548034668
4402134471.71825,-61.5633735656738
4403201707.57737,-78.2947235107422
4404268943.4365,-60.342212677002
4405336179.29562,-81.8690185546875
4406403415.15475,-62.076229095459
4407470651.01387,-77.7463302612305
4408537886.873,-60.6904411315918
4409605122.73212,-78.9636840820313
4410672358.59125,-61.494026184082
4411739594.45037,-82.1168670654297
4412806830.3095,-60.276538848877
4413874066.16862,-78.2793273925781
4414941302.02775,-63.6663665771484
4416008537.88687,-77.1184310913086
4417075773.746,-64.544921875
4418143009.60512,-73.313232421875
4419210245.46425,-62.6255645751953
4420277481.32337,-73.2716369628906
4421344717.1825,-61.8703536987305
4422411953.04162,-78.8052749633789
4423479188.90075,-62.0485076904297
4424546424.75987,-78.5880355834961
4425613660.619,-60.1151924133301
4426680896.47812,-83.5594482421875
4427748132.33725,-59.935432434082
4428815368.19637,-80.7199554443359
4429882604.0555,-64.5827407836914
4430949839.91462,-80.097770690918
4432017075.77375,-62.3510398864746
4433084311.63287,-75.4613571166992
4434151547.492,-60.2053260803223
4435218783.35112,-84.5697250366211
4436286019.21025,-60.8310585021973
4437353255.06937,-79.1719131469727
4438420490.9285,-63.6630706787109
4439487726.78762,-76.4742660522461
4440554962.64674,-62.7520484924316
4441622198.50587,-70.6222686767578
4442689434.365,-61.6999206542969
4443756670.22412,-78.3048629760742
4444823906.08324,-64.046142578125
4445891141.94237,-77.5334777832031
4446958377.80149,-60.1975784301758
4448025613.66062,-83.5683441162109
4449092849.51974,-60.1912651062012
4450160085.37887,-74.6634216308594
4451227321.23799,-62.9247970581055
4452294557.09712,-79.3393859863281
4453361792.95624,-62.19677734375
4454429028.81537,-86.3891983032227
4455496264.67449,-63.3100929260254
4456563500.53362,-81.1089172363281
4457630736.39274,-61.8015289306641
4458697972.25187,-82.1557235717773
4459765208.11099,-63.9331016540527
4460832443.97012,-75.4717330932617
4461899679.82924,-61.823356628418
4462966915.68837,-80.2571640014648
4464034151.54749,-62.7797660827637
4465101387.40662,-76.4717636108398
4466168623.26574,-65.3148193359375
4467235859.12487,-74.1356582641602
4468303094.98399,-60.0088386535645
4469370330.84312,-88.7912826538086
4470437566.70224,-64.162223815918
4471504802.56137,-79.4938659667969
4472572038.42049,-62.1267051696777
4473639274.27962,-89.1526565551758
4474706510.13874,-60.5725746154785
4475773745.99787,-78.64111328125
4476840981.85699,-62.1624984741211
4477908217.71612,-76.3946762084961
4478975453.57524,-60.6561393737793
4480042689.43437,-77.0615158081055
4481109925.29349,-61.9947166442871
4482177161.15261,-81.8234329223633
4483244397.01174,-62.2404403686523
4484311632.87086,-76.7908477783203
4485378868.72999,-59.2958106994629
4486446104.58911,-78.336669921875
4487513340.44824,-59.8862228393555
4488580576.30736,-78.7859802246094
4489647812.16649,-61.7583618164063
4490715048.02561,-81.8002090454102
4491782283.88474,-62.4678344726563
4492849519.74386,-81.0802307128906
4493916755.60299,-63.5359535217285
4494983991.46211,-80.4168395996094
4496051227.32124,-60.7816696166992
4497118463.18036,-84.1726226806641
4498185699.03949,-63.2454376220703
4499252934.89861,-79.3568420410156
4500320170.75774,-62.0999298095703
4501387406.61686,-81.1790084838867
4502454642.47599,-59.383861541748
4503521878.33511,-80.8992538452148
4504589114.19424,-62.448802947998
4505656350.05336,-84.2500915527344
4506723585.91249,-64.4796905517578
4507790821.77161,-75.4362564086914
4508858057.63074,-61.151424407959
4509925293.48986,-77.1445083618164
4510992529.34899,-62.9897575378418
4512059765.20811,-79.8360977172852
4513127001.06724,-60.7411079406738
4514194236.92636,-77.1942596435547
4515261472.78549,-64.1602935791016
4516328708.64461,-78.2080001831055
4517395944.50374,-61.312671661377
4518463180.36286,-95.6674041748047
4519530416.22198,-63.5904960632324
4520597652.08111,-76.957649230957
4521664887.94024,-58.883487701416
4522732123.79936,-73.9961166381836
4523799359.65848,-61.6595993041992
4524866595.51761,-78.48095703125
4525933831.37673,-63.2304191589355
4527001067.23586,-76.76513671875
4528068303.09498,-64.59765625
4529135538.95411,-79.7051391601563
4530202774.81323,-63.1574401855469
4531270010.67236,-82.9126586914063
4532337246.53148,-62.184642791748
4533404482.39061,-72.4790267944336
4534471718.24973,-61.248592376709
4535538954.10886,-77.748779296875
4536606189.96798,-61.7317008972168
4537673425.82711,-79.3688354492188
4538740661.68623,-62.0913429260254
4539807897.54536,-77.3098068237305
4540875133.40448,-61.5242309570313
4541942369.26361,-80.339469909668
4543009605.12273,-62.0889205932617
4544076840.98186,-75.5971832275391
4545144076.84098,-60.5105361938477
4546211312.70011,-79.4249877929688
4547278548.55923,-62.3826751708984
4548345784.41836,-81.6300582885742
4549413020.27748,-61.6215400695801
4550480256.13661,-94.5960693359375
4551547491.99573,-62.5118064880371
4552614727.85486,-85.6822814941406
4553681963.71398,-63.1543998718262
4554749199.57311,-80.6173553466797
4555816435.43223,-61.5833625793457
4556883671.29136,-80.9894866943359
4557950907.15048,-62.4493751525879
4559018143.00961,-79.3074798583984
4560085378.86873,-65.1020202636719
4561152614.72785,-74.9120788574219
4562219850.58698,-61.6862945556641
4563287086.44611,-79.3513565063477
4564354322.30523,-60.2548942565918
4565421558.16435,-80.5539703369141
4566488794.02348,-62.2328681945801
4567556029.8826,-79.0446701049805
4568623265.74173,-61.1152877807617
4569690501.60085,-83.0223999023438
4570757737.45998,-62.9572944641113
4571824973.3191,-80.0887908935547
4572892209.17823,-59.3872337341309
4573959445.03735,-77.8644027709961
4575026680.89648,-57.5023765563965
4576093916.7556,-78.4849472045898
4577161152.61473,-62.0371932983398
4578228388.47385,-73.5199737548828
4579295624.33298,-59.7393074035645
4580362860.1921,-79.3365173339844
4581430096.05123,-60.1739120483398
4582497331.91035,-76.9577865600586
4583564567.76948,-62.7765808105469
4584631803.6286,-76.3921432495117
4585699039.48773,-59.1374320983887
4586766275.34685,-71.5624008178711
4587833511.20598,-58.9951133728027
4588900747.0651,-86.0952911376953
4589967982.92423,-61.5044441223145
4591035218.78335,-80.9796524047852
4592102454.64248,-60.970401763916
4593169690.5016,-80.9056854248047
4594236926.36073,-60.9897689819336
4595304162.21985,-73.0634384155273
4596371398.07898,-61.654411315918
4597438633.9381,-68.0102691650391
4598505869.79723,-48.7727012634277
4599573105.65635,-49.839958190918
4600640341.51548,-47.1171455383301
4601707577.3746,-53.9661483764648
4602774813.23372,-48.1367607116699
4603842049.09285,-72.3780364990234
4604909284.95197,-58.2490119934082
4605976520.8111,-77.803596496582
4607043756.67022,-61.9533500671387
4608110992.52935,-80.4951934814453
4609178228.38847,-62.0528221130371
4610245464.2476,-80.4057846069336
4611312700.10672,-62.1339263916016
4612379935.96585,-78.4467010498047
4613447171.82497,-61.7343788146973
4614514407.6841,-85.5163726806641
4615581643.54322,-61.2097053527832
4616648879.40235,-78.3233337402344
4617716115.26147,-61.5850448608398
4618783351.1206,-77.5154190063477
4619850586.97972,-60.6801223754883
4620917822.83885,-85.3863754272461
4621985058.69797,-62.3364562988281
4623052294.5571,-83.1703262329102
4624119530.41622,-64.7637405395508
4625186766.27535,-80.1612854003906
4626254002.13447,-60.5097122192383
4627321237.9936,-85.7693710327148
4628388473.85272,-58.7956237792969
4629455709.71185,-80.9626693725586
4630522945.57097,-61.6205062866211
4631590181.4301,-80.8184127807617
4632657417.28922,-58.9318923950195
4633724653.14835,-78.6177978515625
4634791889.00747,-59.7577476501465
4635859124.8666,-73.9044342041016
4636926360.72572,-60.9451904296875
4637993596.58485,-81.9341354370117
4639060832.44397,-63.3202934265137
4640128068.30309,-68.3699340820313
4641195304.16222,-61.836238861084
4642262540.02135,-79.6995010375977
4643329775.88047,-61.3201026916504
4644397011.73959,-78.6960983276367
4645464247.59872,-59.2554512023926
4646531483.45784,-77.2230682373047
4647598719.31697,-61.5519142150879
4648665955.17609,-74.8063888549805
4649733191.03522,-60.4867744445801
4650800426.89434,-78.6491546630859
4651867662.75347,-57.3954162597656
4652934898.61259,-78.6570205688477
4654002134.47172,-60.5098648071289
4655069370.33084,-80.2472152709961
4656136606.18997,-59.9973983764648
4657203842.04909,-76.4767761230469
4658271077.90822,-60.5741119384766
4659338313.76734,-75.7070770263672
4660405549.62647,-61.217700958252
4661472785.48559,-78.2225570678711
4662540021.34472,-60.0063133239746
4663607257.20384,-79.8464508056641
4664674493.06297,-62.3451957702637
4665741728.92209,-78.0660095214844
4666808964.78122,-62.0890159606934
4667876200.64034,-84.7829132080078
4668943436.49947,-60.027099609375
4670010672.35859,-76.6636505126953
4671077908.21772,-59.7356452941895
4672145144.07684,-92.034423828125
4673212379.93597,-60.2092590332031
4674279615.79509,-73.9633865356445
4675346851.65422,-60.7152137756348
4676414087.51334,-70.4690780639648
4677481323.37247,-59.1640777587891
4678548559.23159,-89.5071868896484
4679615795.09072,-59.403247833252
4680683030.94984,-71.7044067382813
4681750266.80896,-59.6034622192383
4682817502.66809,-76.5597076416016
4683884738.52721,-61.003833770752
4684951974.38634,-92.1847763061523
4686019210.24546,-61.4583396911621
4687086446.10459,-83.5966186523438
4688153681.96371,-58.7437973022461
4689220917.82284,-85.0462341308594
4690288153.68196,-62.9758796691895
4691355389.54109,-79.6432952880859
4692422625.40021,-58.6628494262695
4693489861.25934,-80.4314575195313
4694557097.11846,-62.0181503295898
4695624332.97759,-79.070671081543
4696691568.83671,-55.6377487182617
4697758804.69584,-60.1471099853516
4698826040.55496,-47.1216201782227
4699893276.41409,-47.8100433349609
4700960512.27321,-45.5521087646484
4702027748.13234,-53.6134185791016
4703094983.99146,-47.3530197143555
4704162219.85059,-84.3884658813477
4705229455.70971,-58.163516998291
4706296691.56884,-77.0475006103516
4707363927.42796,-61.5386581420898
4708431163.28709,-77.9069519042969
4709498399.14621,-61.5713119506836
4710565635.00534,-81.0939559936523
4711632870.86446,-60.9401092529297
4712700106.72359,-82.5908050537109
4713767342.58271,-61.664421081543
4714834578.44184,-77.1835403442383
4715901814.30096,-57.6204643249512
4716969050.16009,-80.9622421264648
4718036286.01921,-61.1478233337402
4719103521.87834,-78.8768920898438
4720170757.73746,-60.8726196289063
4721237993.59659,-85.0154800415039
4722305229.45571,-61.7218704223633
4723372465.31483,-72.810791015625
4724439701.17396,-61.1732711791992
4725506937.03308,-75.9104156494141
4726574172.89221,-62.3495674133301
4727641408.75133,-83.7334747314453
4728708644.61046,-58.0932121276855
4729775880.46958,-85.4705352783203
4730843116.32871,-60.3623580932617
4731910352.18783,-72.8373718261719
4732977588.04696,-60.8772125244141
4734044823.90608,-86.9595718383789
4735112059.76521,-60.6497802734375
4736179295.62433,-85.4004364013672
4737246531.48346,-64.1183471679688
4738313767.34258,-75.819465637207
4739381003.20171,-62.5731735229492
4740448239.06083,-76.2946395874023
4741515474.91996,-60.8104591369629
4742582710.77908,-76.7587814331055
4743649946.63821,-58.9301528930664
4744717182.49733,-85.4659729003906
4745784418.35646,-62.3362464904785
4746851654.21558,-76.5618743896484
4747918890.07471,-60.9990615844727
4748986125.93383,-80.1524429321289
4750053361.79296,-62.6582107543945
4751120597.65208,-72.4764251708984
