Trace
Swept SA
A.14.05,N9020A
526 B25 FS1 MPB RTL ,01
Segment,0
Number of Points,938
Sweep Time,0.0016866
Start Frequency,4400000000
Stop Frequency,5400000000
Average Count,1
Average Type,LogPower(Video)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,3000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,20
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
4400000000,-61.6763801574707
4401067235.85913,-81.6488037109375
4402134471.71825,-61.814868927002
4403201707.57737,-72.8210678100586
4404268943.4365,-61.8673706054688
4405336179.29562,-83.6345138549805
4406403415.15475,-61.308406829834
4407470651.01387,-74.0439147949219
4408537886.873,-62.2751693725586
4409605122.73212,-81.1253509521484
4410672358.59125,-62.6980781555176
4411739594.45037,-82.4632568359375
4412806830.3095,-62.0531272888184
4413874066.16862,-78.0399932861328
4414941302.02775,-63.0514945983887
4416008537.88687,-78.3453140258789
4417075773.746,-63.2267303466797
4418143009.60512,-80.1425552368164
4419210245.46425,-58.8218421936035
4420277481.32337,-83.1546478271484
4421344717.1825,-61.206298828125
4422411953.04162,-81.3646621704102
4423479188.90075,-60.1299362182617
4424546424.75987,-82.7959060668945
4425613660.619,-62.6547660827637
4426680896.47812,-87.3190307617188
4427748132.33725,-60.9243125915527
4428815368.19637,-78.2796325683594
4429882604.0555,-60.2477569580078
4430949839.91462,-79.0825042724609
4432017075.77375,-59.9136848449707
4433084311.63287,-73.5127410888672
4434151547.492,-60.8591346740723
4435218783.35112,-73.5674514770508
4436286019.21025,-60.8976707458496
4437353255.06937,-78.6189880371094
4438420490.9285,-62.048168182373
4439487726.78762,-74.1391372680664
4440554962.64674,-62.7848968505859
4441622198.50587,-79.3361968994141
4442689434.365,-63.3489151000977
4443756670.22412,-80.3838043212891
4444823906.08324,-63.2397308349609
4445891141.94237,-79.14501953125
4446958377.80149,-62.8115844726563
4448025613.66062,-82.0248260498047
4449092849.51974,-62.4510536193848
4450160085.37887,-78.8391952514648
4451227321.23799,-63.7507438659668
4452294557.09712,-76.1070251464844
4453361792.95624,-60.0219955444336
4454429028.81537,-84.9993438720703
4455496264.67449,-62.0459213256836
4456563500.53362,-74.4422378540039
4457630736.39274,-61.31640625
4458697972.25187,-74.9452056884766
4459765208.11099,-62.5219802856445
4460832443.97012,-81.3710403442383
4461899679.82924,-65.3488235473633
4462966915.68837,-89.7165222167969
4464034151.54749,-61.0195922851563
4465101387.40662,-81.5538558959961
4466168623.26574,-62.2406005859375
4467235859.12487,-76.3478469848633
4468303094.98399,-63.286693572998
4469370330.84312,-77.5879592895508
4470437566.70224,-62.7908897399902
4471504802.56137,-80.3089752197266
4472572038.42049,-62.3994483947754
4473639274.27962,-83.4797668457031
4474706510.13874,-63.0347099304199
4475773745.99787,-81.3310928344727
4476840981.85699,-63.134204864502
4477908217.71612,-79.0905532836914
4478975453.57524,-63.112434387207
4480042689.43437,-77.1028289794922
4481109925.29349,-62.3380928039551
4482177161.15261,-77.1479339599609
4483244397.01174,-63.1328353881836
4484311632.87086,-85.3824462890625
4485378868.72999,-59.9574546813965
4486446104.58911,-75.5874862670898
4487513340.44824,-64.8796005249023
4488580576.30736,-78.5378036499023
4489647812.16649,-61.9482192993164
4490715048.02561,-76.8227386474609
4491782283.88474,-61.4774017333984
4492849519.74386,-83.5006484985352
4493916755.60299,-62.0016899108887
4494983991.46211,-80.0886154174805
4496051227.32124,-62.4561576843262
4497118463.18036,-79.5413665771484
4498185699.03949,-62.1529083251953
4499252934.89861,-72.6957092285156
4500320170.75774,-59.7896308898926
4501387406.61686,-74.7692489624023
4502454642.47599,-61.8117218017578
4503521878.33511,-76.1967697143555
4504589114.19424,-62.5880928039551
4505656350.05336,-90.5790252685547
4506723585.91249,-62.2855758666992
4507790821.77161,-76.2112884521484
4508858057.63074,-63.3985481262207
4509925293.48986,-82.272590637207
4510992529.34899,-62.2413024902344
4512059765.20811,-79.8732986450195
4513127001.06724,-62.3988571166992
4514194236.92636,-80.3387985229492
4515261472.78549,-64.3209915161133
4516328708.64461,-81.8471603393555
4517395944.50374,-61.796028137207
4518463180.36286,-81.4307327270508
4519530416.22198,-63.9188041687012
4520597652.08111,-79.4238967895508
4521664887.94024,-62.4587631225586
4522732123.79936,-79.4058074951172
4523799359.65848,-62.1658020019531
4524866595.51761,-80.9288711547852
4525933831.37673,-64.8316955566406
4527001067.23586,-78.9852447509766
4528068303.09498,-65.2795486450195
4529135538.95411,-77.6339721679688
4530202774.81323,-62.8177909851074
4531270010.67236,-82.674446105957
4532337246.53148,-61.2298736572266
4533404482.39061,-83.0774688720703
4534471718.24973,-62.7860107421875
4535538954.10886,-76.1862487792969
4536606189.96798,-63.789478302002
4537673425.82711,-78.0686950683594
4538740661.68623,-61.3850440979004
4539807897.54536,-79.8409118652344
4540875133.40448,-60.0323028564453
4541942369.26361,-87.4095611572266
4543009605.12273,-62.3946685791016
4544076840.98186,-81.7963943481445
4545144076.84098,-64.2910842895508
4546211312.70011,-84.242546081543
4547278548.55923,-63.2146797180176
4548345784.41836,-84.448600769043
4549413020.27748,-63.5449447631836
4550480256.13661,-75.7611999511719
4551547491.99573,-62.580249786377
4552614727.85486,-78.0316925048828
4553681963.71398,-64.2532424926758
4554749199.57311,-86.2103500366211
4555816435.43223,-64.6195220947266
4556883671.29136,-85.6425170898438
4557950907.15048,-63.7415504455566
4559018143.00961,-75.5594711303711
4560085378.86873,-64.8611373901367
4561152614.72785,-73.7870788574219
4562219850.58698,-63.4841423034668
4563287086.44611,-76.3419952392578
4564354322.30523,-60.5946502685547
4565421558.16435,-81.8109359741211
4566488794.02348,-62.5035591125488
4567556029.8826,-73.981201171875
4568623265.74173,-61.8703231811523
4569690501.60085,-84.3470230102539
4570757737.45998,-62.354923248291
4571824973.3191,-76.0506057739258
4572892209.17823,-63.3319320678711
4573959445.03735,-73.0016326904297
4575026680.89648,-59.3988304138184
4576093916.7556,-80.3321685791016
4577161152.61473,-64.2908477783203
4578228388.47385,-70.7995834350586
4579295624.33298,-60.0233497619629
4580362860.1921,-87.5652313232422
4581430096.05123,-63.7798881530762
4582497331.91035,-90.2700805664063
4583564567.76948,-63.1091690063477
4584631803.6286,-85.6836166381836
4585699039.48773,-62.3678970336914
4586766275.34685,-77.7186584472656
4587833511.20598,-60.1545448303223
4588900747.0651,-93.254020690918
4589967982.92423,-64.5049133300781
4591035218.78335,-84.1594619750977
4592102454.64248,-61.757999420166
4593169690.5016,-80.2226867675781
4594236926.36073,-63.3552932739258
4595304162.21985,-82.7467346191406
4596371398.07898,-60.9295463562012
4597438633.9381,-63.1830024719238
4598505869.79723,-47.9118957519531
4599573105.65635,-50.2035675048828
4600640341.51548,-47.1742973327637
4601707577.3746,-54.9625587463379
4602774813.23372,-48.1410179138184
4603842049.09285,-91.8000640869141
4604909284.95197,-61.0467796325684
4605976520.8111,-80.2111282348633
4607043756.67022,-60.8765525817871
4608110992.52935,-76.5506820678711
4609178228.38847,-62.8530769348145
4610245464.2476,-75.0685958862305
4611312700.10672,-61.5209159851074
4612379935.96585,-83.871940612793
4613447171.82497,-62.6169853210449
4614514407.6841,-82.6419906616211
4615581643.54322,-62.0504417419434
4616648879.40235,-82.0744247436523
4617716115.26147,-63.9081687927246
4618783351.1206,-92.8028335571289
4619850586.97972,-61.6355514526367
4620917822.83885,-87.1024703979492
4621985058.69797,-63.9805374145508
4623052294.5571,-76.0510406494141
4624119530.41622,-60.1491203308105
4625186766.27535,-73.8416290283203
4626254002.13447,-60.2099266052246
4627321237.9936,-82.0712509155273
4628388473.85272,-60.4934158325195
4629455709.71185,-82.9353408813477
4630522945.57097,-64.5633010864258
4631590181.4301,-81.8128967285156
4632657417.28922,-59.8940544128418
4633724653.14835,-89.2274780273438
4634791889.00747,-62.6381149291992
4635859124.8666,-74.9335021972656
4636926360.72572,-60.3022918701172
4637993596.58485,-76.0423278808594
4639060832.44397,-60.1955337524414
4640128068.30309,-79.9681701660156
4641195304.16222,-60.2445793151855
4642262540.02135,-74.9336624145508
4643329775.88047,-59.9709892272949
4644397011.73959,-70.9287948608398
4645464247.59872,-61.891918182373
4646531483.45784,-76.0202407836914
4647598719.31697,-62.745719909668
4648665955.17609,-76.3375396728516
4649733191.03522,-59.8410568237305
4650800426.89434,-75.2680130004883
4651867662.75347,-60.2818260192871
4652934898.61259,-79.1394653320313
4654002134.47172,-60.0155868530273
4655069370.33084,-77.965576171875
4656136606.18997,-61.2860984802246
4657203842.04909,-77.1576919555664
4658271077.90822,-61.5556259155273
4659338313.76734,-81.6406097412109
4660405549.62647,-60.6125068664551
4661472785.48559,-73.7868804931641
4662540021.34472,-61.2833099365234
4663607257.20384,-76.3860549926758
4664674493.06297,-61.4585609436035
4665741728.92209,-72.5603103637695
4666808964.78122,-62.1894226074219
4667876200.64034,-72.0741195678711
4668943436.49947,-60.8962707519531
4670010672.35859,-77.6217575073242
4671077908.21772,-62.1180725097656
4672145144.07684,-76.8349761962891
4673212379.93597,-59.4638175964355
4674279615.79509,-82.8581161499023
4675346851.65422,-60.7833633422852
4676414087.51334,-82.3006362915039
4677481323.37247,-61.0269622802734
4678548559.23159,-81.6454086303711
4679615795.09072,-62.0980987548828
4680683030.94984,-77.2324447631836
4681750266.80896,-61.6611480712891
4682817502.66809,-82.0664596557617
4683884738.52721,-60.9735832214355
4684951974.38634,-80.2037353515625
4686019210.24546,-63.0324745178223
4687086446.10459,-79.391227722168
4688153681.96371,-61.7055168151855
4689220917.82284,-76.9258499145508
4690288153.68196,-61.5941390991211
4691355389.54109,-75.632698059082
4692422625.40021,-61.0594444274902
4693489861.25934,-77.2197647094727
4694557097.11846,-61.2927513122559
4695624332.97759,-72.7413940429688
4696691568.83671,-58.2122344970703
4697758804.69584,-61.0239028930664
4698826040.55496,-48.5900459289551
4699893276.41409,-50.6954383850098
4700960512.27321,-47.7679862976074
4702027748.13234,-57.7665977478027
4703094983.99146,-49.1838111877441
4704162219.85059,-78.2643127441406
4705229455.70971,-58.8632621765137
4706296691.56884,-81.797492980957
4707363927.42796,-60.3320007324219
4708431163.28709,-72.4567794799805
4709498399.14621,-60.2448768615723
4710565635.00534,-82.311882019043
4711632870.86446,-61.5921440124512
4712700106.72359,-74.1546249389648
4713767342.58271,-62.175365447998
4714834578.44184,-87.3317184448242
4715901814.30096,-62.2977867126465
4716969050.16009,-75.9685516357422
4718036286.01921,-63.1242713928223
4719103521.87834,-76.082145690918
4720170757.73746,-63.1871604919434
4721237993.59659,-70.8828887939453
4722305229.45571,-60.2287254333496
4723372465.31483,-79.2211608886719
4724439701.17396,-59.8888664245605
4725506937.03308,-78.3036499023438
4726574172.89221,-60.7645950317383
4727641408.75133,-78.0813827514648
4728708644.61046,-61.1714363098145
4729775880.46958,-77.6819915771484
4730843116.32871,-62.9356994628906
4731910352.18783,-77.0092086791992
4732977588.04696,-63.4285278320313
4734044823.90608,-82.0527648925781
4735112059.76521,-62.0266876220703
4736179295.62433,-78.0815811157227
4737246531.48346,-60.703483581543
4738313767.34258,-82.2005844116211
4739381003.20171,-62.4515838623047
4740448239.06083,-81.5821914672852
4741515474.91996,-62.6349983215332
4742582710.77908,-78.6002349853516
4743649946.63821,-60.3615264892578
4744717182.49733,-83.4681396484375
4745784418.35646,-63.0650405883789
4746851654.21558,-74.5140914916992
4747918890.07471,-61.1494789123535
4748986125.93383,-90.4464645385742
4750053361.79296,-60.7493591308594
4751120597.65208,-76.2368850708008
