Trace
Swept SA
A.14.05,N9020A
526 B25 FS1 MPB RTL ,01
Segment,0
Number of Points,938
Sweep Time,0.001061933333
Start Frequency,4700000000
Stop Frequency,5100000000
Average Count,1
Average Type,LogPower(Video)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,3000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,20
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
4700000000,-46.5435791015625
4700426894.34365,-50.0528144836426
4700853788.6873,-46.7043533325195
4701280683.03095,-50.8059501647949
4701707577.3746,-48.196834564209
4702134471.71825,-54.3988800048828
4702561366.0619,-50.4676170349121
4702988260.40555,-59.7078857421875
4703415154.7492,-54.2545700073242
4703842049.09285,-69.7792816162109
4704268943.4365,-58.0481376647949
4704695837.78015,-79.9690017700195
4705122732.1238,-62.3083877563477
4705549626.46745,-84.2564468383789
4705976520.8111,-58.2072677612305
4706403415.15475,-84.1158981323242
4706830309.4984,-60.0179748535156
4707257203.84205,-73.1387100219727
4707684098.1857,-62.0535774230957
4708110992.52935,-76.3421249389648
4708537886.873,-62.2974014282227
4708964781.21665,-72.4982299804688
4709391675.5603,-62.7168731689453
4709818569.90395,-74.1942901611328
4710245464.2476,-63.8639335632324
4710672358.59125,-70.8619155883789
4711099252.9349,-59.4512023925781
4711526147.27855,-71.5177917480469
4711953041.6222,-60.5834808349609
4712379935.96585,-74.2438201904297
4712806830.3095,-61.3163642883301
4713233724.65315,-78.6807861328125
4713660618.9968,-61.5869750976563
4714087513.34045,-83.5660629272461
4714514407.6841,-61.2858009338379
4714941302.02775,-73.8628463745117
4715368196.3714,-60.9574394226074
4715795090.71505,-73.3838195800781
4716221985.0587,-61.4617576599121
4716648879.40235,-74.8935317993164
4717075773.746,-63.5145874023438
4717502668.08965,-78.6124649047852
4717929562.4333,-63.7690277099609
4718356456.77695,-77.8637161254883
4718783351.1206,-56.9599914550781
4719210245.46425,-76.6041870117188
4719637139.8079,-57.8905754089355
4720064034.15155,-76.4889526367188
4720490928.4952,-61.889518737793
4720917822.83885,-79.1223831176758
4721344717.1825,-60.6696739196777
4721771611.52615,-79.5914306640625
4722198505.8698,-61.4290161132813
4722625400.21345,-74.5719604492188
4723052294.5571,-59.7645378112793
4723479188.90075,-79.6843338012695
4723906083.2444,-56.4574775695801
4724332977.58805,-78.5181427001953
4724759871.9317,-61.1568145751953
4725186766.27535,-75.0493927001953
4725613660.619,-63.7321815490723
4726040554.96265,-80.6049346923828
4726467449.3063,-63.2061195373535
4726894343.64995,-83.9857940673828
4727321237.9936,-60.7412948608398
4727748132.33725,-93.5423278808594
4728175026.6809,-63.7679176330566
4728601921.02455,-74.9632797241211
4729028815.3682,-59.9882926940918
4729455709.71185,-80.6518402099609
4729882604.0555,-61.6765937805176
4730309498.39915,-81.6970748901367
4730736392.7428,-60.8683166503906
4731163287.08645,-69.9198684692383
4731590181.4301,-60.8221664428711
4732017075.77375,-82.552848815918
4732443970.1174,-60.9200668334961
4732870864.46105,-78.5946273803711
4733297758.8047,-59.4518165588379
4733724653.14835,-74.976692199707
4734151547.492,-59.7312431335449
4734578441.83565,-77.0772933959961
4735005336.1793,-60.123119354248
4735432230.52295,-75.4620513916016
4735859124.8666,-60.6112670898438
4736286019.21025,-82.7197036743164
4736712913.5539,-60.0521354675293
4737139807.89755,-76.8418350219727
4737566702.2412,-62.4915390014648
4737993596.58485,-75.92919921875
4738420490.9285,-62.6328010559082
4738847385.27215,-69.0238876342773
4739274279.6158,-62.1515693664551
4739701173.95945,-81.2416229248047
4740128068.30309,-61.4924850463867
4740554962.64674,-76.7373504638672
4740981856.99039,-62.6082725524902
4741408751.33404,-75.5542526245117
4741835645.67769,-62.7737846374512
4742262540.02135,-79.1592712402344
4742689434.365,-62.0764808654785
4743116328.70864,-73.1013412475586
4743543223.05229,-63.204761505127
4743970117.39594,-86.0334396362305
4744397011.73959,-63.6539611816406
4744823906.08324,-78.4541854858398
4745250800.42689,-62.335636138916
4745677694.77054,-76.4972076416016
4746104589.11419,-61.7816467285156
4746531483.45784,-73.1056289672852
4746958377.80149,-63.0929260253906
4747385272.14514,-80.4477920532227
4747812166.48879,-63.6406059265137
4748239060.83244,-76.3411178588867
4748665955.17609,-63.4746627807617
4749092849.51974,-84.7151412963867
4749519743.86339,-63.3454666137695
4749946638.20704,-82.833122253418
4750373532.55069,-66.3742904663086
4750800426.89434,-71.2940368652344
4751227321.23799,-60.6404724121094
4751654215.58164,-67.3284683227539
4752081109.92529,-61.5732574462891
4752508004.26894,-79.8166656494141
4752934898.61259,-62.1371078491211
4753361792.95624,-71.0093383789063
4753788687.29989,-61.0951194763184
4754215581.64354,-84.0524063110352
4754642475.98719,-62.166072845459
4755069370.33084,-79.5180053710938
4755496264.67449,-59.5351524353027
4755923159.01814,-79.6298675537109
4756350053.36179,-63.0666770935059
4756776947.70544,-79.1126251220703
4757203842.04909,-62.5766258239746
4757630736.39274,-80.5870590209961
4758057630.73639,-61.9969139099121
4758484525.08004,-83.1249465942383
4758911419.42369,-62.0595359802246
4759338313.76734,-82.0741348266602
4759765208.11099,-60.098876953125
4760192102.45464,-77.2038650512695
4760618996.79829,-61.7276496887207
4761045891.14194,-69.4702835083008
4761472785.48559,-60.5960006713867
4761899679.82924,-73.8139114379883
4762326574.17289,-60.6035003662109
4762753468.51654,-77.6114807128906
4763180362.86019,-64.9045028686523
4763607257.20384,-80.5653381347656
4764034151.54749,-62.1118965148926
4764461045.89114,-78.300422668457
4764887940.23479,-59.8932762145996
4765314834.57844,-74.8750305175781
4765741728.92209,-62.0409126281738
4766168623.26574,-80.4555587768555
4766595517.60939,-60.3271942138672
4767022411.95304,-66.8829040527344
4767449306.29669,-61.3966789245605
4767876200.64034,-74.0354614257813
4768303094.98399,-60.8728218078613
4768729989.32764,-79.2999572753906
4769156883.67129,-63.798755645752
4769583778.01494,-84.2785720825195
4770010672.35859,-64.7219924926758
4770437566.70224,-75.4051055908203
4770864461.04589,-62.9693183898926
4771291355.38954,-73.6921157836914
4771718249.73319,-62.330810546875
4772145144.07684,-76.9877243041992
4772572038.42049,-61.9348335266113
4772998932.76414,-70.7372436523438
4773425827.10779,-59.4957313537598
4773852721.45144,-75.1293792724609
4774279615.79509,-61.3721771240234
4774706510.13874,-84.2118759155273
4775133404.48239,-62.2336730957031
4775560298.82604,-75.5552062988281
4775987193.16969,-63.3891448974609
4776414087.51334,-80.2993774414063
4776840981.85699,-63.6053695678711
4777267876.20064,-72.2394790649414
4777694770.54429,-60.0682754516602
4778121664.88794,-71.3202285766602
4778548559.23159,-63.0059661865234
4778975453.57524,-74.049201965332
4779402347.91889,-64.5943145751953
4779829242.26254,-76.1049728393555
4780256136.60619,-61.4107246398926
4780683030.94984,-71.2317581176758
4781109925.29349,-64.2131881713867
4781536819.63714,-83.6802673339844
4781963713.98079,-60.0411071777344
4782390608.32444,-77.2093048095703
4782817502.66809,-61.4082412719727
4783244397.01174,-82.9992828369141
4783671291.35539,-60.7256393432617
4784098185.69904,-77.9768829345703
4784525080.04269,-62.5388793945313
4784951974.38634,-80.8329925537109
4785378868.72999,-63.1710777282715
4785805763.07364,-71.9021987915039
4786232657.41729,-63.8076858520508
4786659551.76094,-71.224006652832
4787086446.10459,-60.779899597168
4787513340.44824,-71.21240234375
4787940234.79189,-59.4035148620605
4788367129.13554,-75.1180038452148
4788794023.47919,-61.2130813598633
4789220917.82284,-76.9907760620117
4789647812.16649,-61.4329795837402
4790074706.51014,-83.0864944458008
4790501600.85379,-62.3209381103516
4790928495.19744,-78.669677734375
4791355389.54109,-64.1503448486328
4791782283.88474,-94.7237777709961
4792209178.22839,-62.4417724609375
4792636072.57204,-73.2454147338867
4793062966.91569,-60.9830741882324
4793489861.25934,-75.7950592041016
4793916755.60299,-60.5371208190918
4794343649.94664,-79.3611297607422
4794770544.29029,-65.8861389160156
4795197438.63394,-83.9884414672852
4795624332.97759,-63.3243064880371
4796051227.32124,-71.9517974853516
4796478121.66489,-59.0294876098633
4796905016.00854,-70.7069702148438
4797331910.35219,-57.0394325256348
4797758804.69584,-61.2867088317871
4798185699.03949,-51.6422119140625
4798612593.38314,-53.6280860900879
4799039487.72679,-50.151912689209
4799466382.07044,-51.9459686279297
4799893276.41409,-48.1787605285645
4800320170.75774,-48.5222396850586
4800747065.10139,-47.0563659667969
4801173959.44504,-49.5584144592285
4801600853.78869,-47.8382530212402
4802027748.13234,-53.8555030822754
4802454642.47599,-49.591724395752
4802881536.81964,-61.3694076538086
4803308431.16329,-53.6337890625
4803735325.50694,-67.9242172241211
4804162219.85059,-58.4512138366699
4804589114.19424,-79.5978622436523
4805016008.53789,-58.0395622253418
4805442902.88154,-75.7908096313477
4805869797.22519,-62.0257720947266
4806296691.56884,-84.9223098754883
4806723585.91249,-62.5379371643066
4807150480.25614,-77.2737426757813
4807577374.59979,-58.9329872131348
4808004268.94344,-88.3219528198242
4808431163.28709,-66.4174957275391
4808858057.63074,-81.16064453125
4809284951.97439,-63.0140037536621
4809711846.31804,-86.6729125976563
4810138740.66169,-61.1087112426758
4810565635.00534,-80.5387954711914
4810992529.34899,-60.0897560119629
4811419423.69264,-74.4803771972656
4811846318.03629,-64.0845336914063
4812273212.37994,-77.2581024169922
4812700106.72359,-63.1096725463867
4813127001.06724,-75.7937698364258
4813553895.41089,-60.3871307373047
4813980789.75454,-84.6560363769531
4814407684.09819,-63.5345268249512
4814834578.44184,-81.8710250854492
4815261472.78549,-64.1243438720703
4815688367.12914,-75.6303405761719
4816115261.47279,-60.7278671264648
4816542155.81644,-91.9926376342773
4816969050.16009,-65.3488159179688
4817395944.50374,-80.1965713500977
4817822838.84739,-63.9153518676758
4818249733.19104,-79.1349868774414
4818676627.53469,-61.2552795410156
4819103521.87834,-77.2326278686523
4819530416.22198,-63.3531875610352
4819957310.56563,-72.9652557373047
4820384204.90928,-61.7602424621582
4820811099.25293,-71.7846069335938
4821237993.59659,-60.6398658752441
4821664887.94024,-83.3080825805664
4822091782.28389,-65.3173980712891
4822518676.62753,-77.2893447875977
4822945570.97118,-66.3841934204102
4823372465.31483,-72.5788040161133
4823799359.65848,-62.9142189025879
4824226254.00213,-76.5419769287109
4824653148.34578,-61.9415626525879
4825080042.68943,-70.9796447753906
4825506937.03308,-63.6587753295898
4825933831.37673,-85.7765197753906
4826360725.72038,-63.3196334838867
4826787620.06403,-75.3805084228516
4827214514.40768,-59.6497573852539
4827641408.75133,-79.4208526611328
4828068303.09498,-61.7910270690918
4828495197.43863,-79.4587326049805
4828922091.78228,-65.558708190918
4829348986.12593,-70.7839431762695
4829775880.46958,-61.802116394043
4830202774.81323,-81.8701248168945
4830629669.15688,-62.6535682678223
4831056563.50053,-84.1708755493164
4831483457.84418,-62.9347152709961
4831910352.18783,-79.8638076782227
4832337246.53148,-60.459846496582
4832764140.87513,-91.0947723388672
4833191035.21878,-58.6074714660645
4833617929.56243,-81.5424652099609
4834044823.90608,-64.6284713745117
4834471718.24973,-80.112678527832
4834898612.59338,-60.8696708679199
4835325506.93703,-75.0449600219727
4835752401.28068,-62.4097595214844
4836179295.62433,-78.1210632324219
4836606189.96798,-62.3241729736328
4837033084.31163,-86.7385940551758
4837459978.65528,-62.469352722168
4837886872.99893,-69.6046829223633
4838313767.34258,-62.4587287902832
4838740661.68623,-82.4789657592773
4839167556.02988,-60.9723510742188
4839594450.37353,-77.7162399291992
4840021344.71718,-65.0928039550781
