Trace
Swept SA
A.14.05,N9020A
526 B25 FS1 MPB RTL ,01
Segment,0
Number of Points,938
Sweep Time,0.001061933333
Start Frequency,4700000000
Stop Frequency,5100000004
Average Count,1
Average Type,LogPower(Video)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,3000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,20
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
4700000000,-46.9135437011719
4700426894.34792,-47.4058685302734
4700853788.69584,-45.2840232849121
4701280683.04376,-49.564208984375
4701707577.39168,-46.9955215454102
4702134471.73959,-52.1693916320801
4702561366.08751,-49.3875770568848
4702988260.43543,-59.6369171142578
4703415154.78335,-52.7115287780762
4703842049.13127,-75.642936706543
4704268943.47919,-58.6070213317871
4704695837.82711,-78.6802597045898
4705122732.17503,-63.4765434265137
4705549626.52295,-75.7344665527344
4705976520.87086,-63.2191505432129
4706403415.21878,-73.9822158813477
4706830309.5667,-59.9507217407227
4707257203.91462,-79.5212631225586
4707684098.26254,-59.2229690551758
4708110992.61046,-80.6969985961914
4708537886.95838,-62.7233047485352
4708964781.3063,-77.2014694213867
4709391675.65422,-64.1915435791016
4709818570.00213,-79.730224609375
4710245464.35005,-61.9196853637695
4710672358.69797,-76.640380859375
4711099253.04589,-62.2289276123047
4711526147.39381,-71.1889419555664
4711953041.74173,-61.8928108215332
4712379936.08965,-92.9682159423828
4712806830.43757,-62.6139450073242
4713233724.78549,-74.5795288085938
4713660619.1334,-60.7341384887695
4714087513.48132,-75.8349609375
4714514407.82924,-59.5826568603516
4714941302.17716,-77.6305694580078
4715368196.52508,-61.9030113220215
4715795090.873,-77.31103515625
4716221985.22092,-63.2238540649414
4716648879.56884,-75.9493560791016
4717075773.91676,-62.6625213623047
4717502668.26467,-70.6932525634766
4717929562.61259,-61.2133903503418
4718356456.96051,-77.2453765869141
4718783351.30843,-62.0859184265137
4719210245.65635,-79.9420166015625
4719637140.00427,-62.8548240661621
4720064034.35219,-81.8816757202148
4720490928.70011,-61.6269073486328
4720917823.04803,-69.8928146362305
4721344717.39594,-60.4342651367188
4721771611.74386,-81.2102661132813
4722198506.09178,-61.8293342590332
4722625400.4397,-75.4477920532227
4723052294.78762,-60.7542839050293
4723479189.13554,-74.2911605834961
4723906083.48346,-60.8330841064453
4724332977.83138,-79.4028015136719
4724759872.1793,-63.2636795043945
4725186766.52721,-70.871826171875
4725613660.87513,-61.913761138916
4726040555.22305,-77.6870498657227
4726467449.57097,-61.31201171875
4726894343.91889,-85.9758224487305
4727321238.26681,-63.3971862792969
4727748132.61473,-83.8468780517578
4728175026.96265,-63.4414443969727
4728601921.31057,-75.4834594726563
4729028815.65848,-59.9947509765625
4729455710.0064,-80.1328277587891
4729882604.35432,-61.4802207946777
4730309498.70224,-84.6506423950195
4730736393.05016,-61.0320701599121
4731163287.39808,-80.3227615356445
4731590181.746,-64.8730087280273
4732017076.09392,-78.7472229003906
4732443970.44184,-61.0059356689453
4732870864.78975,-76.6528167724609
4733297759.13767,-62.170970916748
4733724653.48559,-80.4584732055664
4734151547.83351,-62.5025863647461
4734578442.18143,-79.8038101196289
4735005336.52935,-64.1174011230469
4735432230.87727,-74.2919464111328
4735859125.22519,-60.8081474304199
4736286019.57311,-77.7639465332031
4736712913.92102,-61.4697494506836
4737139808.26894,-77.5223159790039
4737566702.61686,-63.0492897033691
4737993596.96478,-72.4330368041992
4738420491.3127,-60.1530647277832
4738847385.66062,-79.3856964111328
4739274280.00854,-60.5398025512695
4739701174.35646,-74.8520355224609
4740128068.70438,-61.8047904968262
4740554963.05229,-82.8901977539063
4740981857.40021,-61.6638450622559
4741408751.74813,-80.9398422241211
4741835646.09605,-63.8070793151855
4742262540.44397,-75.5558547973633
4742689434.79189,-60.5588226318359
4743116329.13981,-77.3668975830078
4743543223.48773,-63.9022064208984
4743970117.83565,-71.5316619873047
4744397012.18356,-61.3852119445801
4744823906.53148,-87.8018493652344
4745250800.8794,-67.4654998779297
4745677695.22732,-76.8051528930664
4746104589.57524,-62.3688774108887
4746531483.92316,-78.0091400146484
4746958378.27108,-62.3844718933105
4747385272.619,-78.3187103271484
4747812166.96692,-65.813850402832
4748239061.31483,-72.6260528564453
4748665955.66275,-62.5795555114746
4749092850.01067,-77.2879180908203
4749519744.35859,-63.307300567627
4749946638.70651,-81.5874557495117
4750373533.05443,-61.8949165344238
4750800427.40235,-81.9021759033203
4751227321.75027,-62.2169799804688
4751654216.09819,-74.0466003417969
4752081110.44611,-61.5218887329102
4752508004.79402,-74.0901184082031
4752934899.14194,-62.4010353088379
4753361793.48986,-79.6184692382813
4753788687.83778,-62.434268951416
4754215582.1857,-74.3645706176758
4754642476.53362,-64.6826019287109
4755069370.88154,-79.2961578369141
4755496265.22946,-62.7322387695313
4755923159.57737,-78.7531967163086
4756350053.92529,-63.1571922302246
4756776948.27321,-75.5336074829102
4757203842.62113,-64.370002746582
4757630736.96905,-82.9448623657227
4758057631.31697,-65.9480667114258
4758484525.66489,-81.1047439575195
4758911420.01281,-62.8651733398438
4759338314.36073,-73.0926284790039
4759765208.70864,-62.9204521179199
4760192103.05656,-81.4982604980469
4760618997.40448,-64.8108673095703
4761045891.7524,-72.8834915161133
4761472786.10032,-59.7583427429199
4761899680.44824,-76.4730834960938
4762326574.79616,-59.325626373291
4762753469.14408,-79.6672821044922
4763180363.492,-58.6724281311035
4763607257.83991,-86.6956405639648
4764034152.18783,-58.0618591308594
4764461046.53575,-78.5938568115234
4764887940.88367,-61.7668342590332
4765314835.23159,-74.4408950805664
4765741729.57951,-64.0805740356445
4766168623.92743,-77.8923187255859
4766595518.27535,-62.0030708312988
4767022412.62327,-81.0005264282227
4767449306.97118,-59.0811233520508
4767876201.3191,-73.7711181640625
4768303095.66702,-62.3591003417969
4768729990.01494,-84.9834671020508
4769156884.36286,-62.7847900390625
4769583778.71078,-73.2202377319336
4770010673.0587,-62.3131217956543
4770437567.40662,-82.1403198242188
4770864461.75454,-63.7544937133789
4771291356.10245,-72.5620574951172
4771718250.45037,-65.3171310424805
4772145144.79829,-80.8376007080078
4772572039.14621,-61.7418251037598
4772998933.49413,-86.9627227783203
4773425827.84205,-61.691276550293
4773852722.18997,-83.8952560424805
4774279616.53789,-62.588794708252
4774706510.88581,-80.1597366333008
4775133405.23372,-62.3853797912598
4775560299.58164,-87.0264129638672
4775987193.92956,-60.6518249511719
4776414088.27748,-76.0201644897461
4776840982.6254,-59.363639831543
4777267876.97332,-86.3550033569336
4777694771.32124,-63.3633270263672
4778121665.66916,-74.8923568725586
4778548560.01708,-64.2388000488281
4778975454.365,-81.5297317504883
4779402348.71291,-61.6512451171875
4779829243.06083,-87.7033538818359
4780256137.40875,-62.6942825317383
4780683031.75667,-72.2602996826172
4781109926.10459,-60.9276580810547
4781536820.45251,-74.5394973754883
4781963714.80043,-61.9809799194336
4782390609.14835,-87.1563110351563
4782817503.49626,-65.3838958740234
4783244397.84418,-77.5163116455078
4783671292.1921,-62.5464706420898
4784098186.54002,-71.0674057006836
4784525080.88794,-63.0390396118164
4784951975.23586,-75.0906066894531
4785378869.58378,-64.0078430175781
4785805763.9317,-78.996223449707
4786232658.27962,-63.30908203125
4786659552.62753,-71.9468688964844
4787086446.97545,-63.5966033935547
4787513341.32337,-82.9255142211914
4787940235.67129,-62.1768684387207
4788367130.01921,-85.0040740966797
4788794024.36713,-64.2568969726563
4789220918.71505,-79.880256652832
4789647813.06297,-63.8021354675293
4790074707.41089,-88.0808410644531
4790501601.7588,-61.9818572998047
4790928496.10672,-82.6498260498047
4791355390.45464,-62.2208709716797
4791782284.80256,-74.2033615112305
4792209179.15048,-61.2861938476563
4792636073.4984,-86.4093475341797
4793062967.84632,-63.7270812988281
4793489862.19424,-78.4141311645508
4793916756.54216,-62.2220916748047
4794343650.89007,-91.1860198974609
4794770545.23799,-61.7636528015137
4795197439.58591,-64.9004440307617
4795624333.93383,-45.1931991577148
4796051228.28175,-44.2591743469238
4796478122.62967,-33.0764617919922
4796905016.97759,-28.4949474334717
4797331911.32551,-24.6439609527588
4797758805.67343,-21.2287921905518
4798185700.02135,-18.4515476226807
4798612594.36926,-16.1755294799805
4799039488.71718,-14.392653465271
4799466383.0651,-13.1749448776245
4799893277.41302,-12.4937391281128
4800320171.76094,-12.3514280319214
4800747066.10886,-12.3613109588623
4801173960.45678,-12.8048067092896
4801600854.8047,-13.7539386749268
4802027749.15261,-15.1499118804932
4802454643.50053,-16.9670028686523
4802881537.84845,-19.2934074401855
4803308432.19637,-22.1114826202393
4803735326.54429,-25.4719409942627
4804162220.89221,-29.4923725128174
4804589115.24013,-34.3557777404785
4805016009.58805,-39.9989471435547
4805442903.93597,-54.9442100524902
4805869798.28389,-47.0483818054199
4806296692.6318,-72.023323059082
4806723586.97972,-59.8178253173828
4807150481.32764,-80.7138671875
4807577375.67556,-63.9282493591309
4808004270.02348,-80.2390213012695
4808431164.3714,-63.4357643127441
4808858058.71932,-87.0892868041992
4809284953.06724,-61.5469856262207
4809711847.41515,-78.5951461791992
4810138741.76307,-61.2232856750488
4810565636.11099,-74.5225296020508
4810992530.45891,-63.1073341369629
4811419424.80683,-75.1197052001953
4811846319.15475,-61.0866661071777
4812273213.50267,-80.9408111572266
4812700107.85059,-64.4567565917969
4813127002.19851,-74.0872039794922
4813553896.54642,-60.7494125366211
4813980790.89434,-81.1069869995117
4814407685.24226,-62.1145973205566
4814834579.59018,-85.4523391723633
4815261473.9381,-62.8109893798828
4815688368.28602,-74.5007247924805
4816115262.63394,-63.3207054138184
4816542156.98186,-73.1539916992188
4816969051.32978,-63.5849571228027
4817395945.67769,-71.7264175415039
4817822840.02561,-62.1963348388672
4818249734.37353,-75.2023391723633
4818676628.72145,-60.9275054931641
4819103523.06937,-76.9570388793945
4819530417.41729,-64.1667785644531
4819957311.76521,-80.4880828857422
4820384206.11313,-63.2580680847168
4820811100.46105,-79.3625717163086
4821237994.80896,-61.8973731994629
4821664889.15688,-79.8245162963867
4822091783.5048,-61.644229888916
4822518677.85272,-76.2406387329102
4822945572.20064,-60.4018592834473
4823372466.54856,-79.8150405883789
4823799360.89648,-61.4627799987793
4824226255.2444,-93.2317199707031
4824653149.59232,-63.1336975097656
4825080043.94024,-83.8565368652344
4825506938.28815,-62.5814323425293
4825933832.63607,-76.8147888183594
4826360726.98399,-61.4353408813477
4826787621.33191,-79.3058929443359
4827214515.67983,-61.7627944946289
4827641410.02775,-68.5086135864258
4828068304.37567,-59.7208137512207
4828495198.72359,-78.5798568725586
4828922093.0715,-63.8317222595215
4829348987.41942,-81.2473449707031
4829775881.76734,-63.6145858764648
4830202776.11526,-79.5066909790039
4830629670.46318,-61.6916656494141
4831056564.8111,-74.0252075195313
4831483459.15902,-63.0134887695313
4831910353.50694,-81.0449905395508
4832337247.85486,-61.5631332397461
4832764142.20278,-80.0429458618164
4833191036.55069,-62.4403190612793
4833617930.89861,-85.7655715942383
4834044825.24653,-62.392219543457
4834471719.59445,-81.349006652832
4834898613.94237,-63.1069869995117
4835325508.29029,-100.828170776367
4835752402.63821,-65.4569854736328
4836179296.98613,-76.1075210571289
4836606191.33404,-61.3064727783203
4837033085.68196,-78.9822692871094
4837459980.02988,-62.9553413391113
4837886874.3778,-81.158821105957
4838313768.72572,-63.440071105957
4838740663.07364,-75.0585174560547
4839167557.42156,-62.1175956726074
4839594451.76948,-80.992805480957
4840021346.1174,-60.1160354614258
4840448240.46531,-83.4956741333008
