Trace
Swept SA
A.14.05,N9020A
526 B25 FS1 MPB RTL ,01
Segment,0
Number of Points,938
Sweep Time,0.001061933333
Start Frequency,4700000000
Stop Frequency,5100000004
Average Count,1
Average Type,LogPower(Video)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,3000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,20
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
4700000000,-53.5116424560547
4700426894.34792,-56.9194602966309
4700853788.69584,-54.1993789672852
4701280683.04376,-59.0270919799805
4701707577.39168,-52.2214965820313
4702134471.73959,-63.413028717041
4702561366.08751,-56.6676979064941
4702988260.43543,-78.1505432128906
4703415154.78335,-58.826774597168
4703842049.13127,-77.5359725952148
4704268943.47919,-61.3915405273438
4704695837.82711,-72.0671463012695
4705122732.17503,-61.3472785949707
4705549626.52295,-78.6556854248047
4705976520.87086,-63.0521621704102
4706403415.21878,-81.0300979614258
4706830309.5667,-60.9544906616211
4707257203.91462,-73.0426406860352
4707684098.26254,-63.1032791137695
4708110992.61046,-81.7742538452148
4708537886.95838,-56.7245979309082
4708964781.3063,-71.8054122924805
4709391675.65422,-60.9245948791504
4709818570.00213,-73.5169143676758
4710245464.35005,-59.8808174133301
4710672358.69797,-85.4219818115234
4711099253.04589,-62.1787986755371
4711526147.39381,-82.5736923217773
4711953041.74173,-60.8086280822754
4712379936.08965,-76.3173370361328
4712806830.43757,-61.4768447875977
4713233724.78549,-78.8794860839844
4713660619.1334,-60.3929748535156
4714087513.48132,-82.7233657836914
4714514407.82924,-61.0016670227051
4714941302.17716,-79.1458587646484
4715368196.52508,-63.5447082519531
4715795090.873,-73.3444290161133
4716221985.22092,-63.165641784668
4716648879.56884,-81.5854339599609
4717075773.91676,-62.0972061157227
4717502668.26467,-78.1754913330078
4717929562.61259,-62.4398460388184
4718356456.96051,-74.4767150878906
4718783351.30843,-60.543872833252
4719210245.65635,-88.3443984985352
4719637140.00427,-64.5163650512695
4720064034.35219,-74.4028091430664
4720490928.70011,-61.5679626464844
4720917823.04803,-78.2415466308594
4721344717.39594,-62.120059967041
4721771611.74386,-82.8534317016602
4722198506.09178,-61.5815124511719
4722625400.4397,-69.9914703369141
4723052294.78762,-61.920482635498
4723479189.13554,-78.4147415161133
4723906083.48346,-60.6888885498047
4724332977.83138,-85.4012069702148
4724759872.1793,-62.2662239074707
4725186766.52721,-80.3428039550781
4725613660.87513,-60.348201751709
4726040555.22305,-79.8160171508789
4726467449.57097,-66.0830688476563
4726894343.91889,-77.8487548828125
4727321238.26681,-62.8377532958984
4727748132.61473,-73.8332214355469
4728175026.96265,-65.3528671264648
4728601921.31057,-76.6996307373047
4729028815.65848,-62.2008857727051
4729455710.0064,-73.31982421875
4729882604.35432,-61.973217010498
4730309498.70224,-77.7751693725586
4730736393.05016,-62.7840156555176
4731163287.39808,-79.1085052490234
4731590181.746,-61.697940826416
4732017076.09392,-78.4244384765625
4732443970.44184,-64.8105545043945
4732870864.78975,-72.9103775024414
4733297759.13767,-62.3111991882324
4733724653.48559,-77.4730224609375
4734151547.83351,-65.7640914916992
4734578442.18143,-77.209342956543
4735005336.52935,-60.6667366027832
4735432230.87727,-72.4118347167969
4735859125.22519,-59.8628768920898
4736286019.57311,-85.4034729003906
4736712913.92102,-60.93310546875
4737139808.26894,-75.7392196655273
4737566702.61686,-63.6958923339844
4737993596.96478,-78.1139602661133
4738420491.3127,-62.0931587219238
4738847385.66062,-77.4320983886719
4739274280.00854,-62.268970489502
4739701174.35646,-71.0882873535156
4740128068.70438,-62.3235168457031
4740554963.05229,-75.4664688110352
4740981857.40021,-64.5395126342773
4741408751.74813,-91.8116149902344
4741835646.09605,-62.7684745788574
4742262540.44397,-74.3768768310547
4742689434.79189,-61.174560546875
4743116329.13981,-73.7457275390625
4743543223.48773,-64.55322265625
4743970117.83565,-73.7789611816406
4744397012.18356,-61.0859565734863
4744823906.53148,-77.6257858276367
4745250800.8794,-63.6892623901367
4745677695.22732,-79.9240875244141
4746104589.57524,-62.1556091308594
4746531483.92316,-77.7583923339844
4746958378.27108,-64.4928741455078
4747385272.619,-77.9084854125977
4747812166.96692,-60.7419166564941
4748239061.31483,-80.3449554443359
4748665955.66275,-62.5889739990234
4749092850.01067,-81.5886306762695
4749519744.35859,-61.5866813659668
4749946638.70651,-81.3639068603516
4750373533.05443,-65.8531494140625
4750800427.40235,-86.3594284057617
4751227321.75027,-62.1235084533691
4751654216.09819,-74.7101135253906
4752081110.44611,-61.9825630187988
4752508004.79402,-77.4508514404297
4752934899.14194,-64.7034606933594
4753361793.48986,-70.6962127685547
4753788687.83778,-63.3726501464844
4754215582.1857,-79.2098770141602
4754642476.53362,-62.6577186584473
4755069370.88154,-80.9952011108398
4755496265.22946,-66.3810653686523
4755923159.57737,-77.4397354125977
4756350053.92529,-58.9392623901367
4756776948.27321,-79.4705276489258
4757203842.62113,-60.7084159851074
4757630736.96905,-77.2607345581055
4758057631.31697,-62.3004493713379
4758484525.66489,-80.389518737793
4758911420.01281,-62.4189338684082
4759338314.36073,-71.9614334106445
4759765208.70864,-61.8473167419434
4760192103.05656,-78.4554901123047
4760618997.40448,-66.3967361450195
4761045891.7524,-81.0926055908203
4761472786.10032,-65.1746978759766
4761899680.44824,-80.1050109863281
4762326574.79616,-63.4029273986816
4762753469.14408,-73.3371429443359
4763180363.492,-59.8224754333496
4763607257.83991,-81.2106781005859
4764034152.18783,-65.7109527587891
4764461046.53575,-76.9291000366211
4764887940.88367,-62.1451988220215
4765314835.23159,-84.3087615966797
4765741729.57951,-60.5005722045898
4766168623.92743,-73.9882049560547
4766595518.27535,-61.6376800537109
4767022412.62327,-72.7147216796875
4767449306.97118,-67.0594711303711
4767876201.3191,-74.6889266967773
4768303095.66702,-61.6798973083496
4768729990.01494,-80.9286956787109
4769156884.36286,-62.2055358886719
4769583778.71078,-75.6454010009766
4770010673.0587,-63.0912971496582
4770437567.40662,-79.4642944335938
4770864461.75454,-60.067928314209
4771291356.10245,-83.1045913696289
4771718250.45037,-64.9304275512695
4772145144.79829,-74.5317230224609
4772572039.14621,-61.5998611450195
4772998933.49413,-75.4931793212891
4773425827.84205,-63.6233024597168
4773852722.18997,-75.7219085693359
4774279616.53789,-62.8444290161133
4774706510.88581,-80.5777969360352
4775133405.23372,-63.5787925720215
4775560299.58164,-79.5380172729492
4775987193.92956,-67.7783813476563
4776414088.27748,-86.6854400634766
4776840982.6254,-62.8456497192383
4777267876.97332,-75.5785064697266
4777694771.32124,-61.8940696716309
4778121665.66916,-77.5497665405273
4778548560.01708,-62.876838684082
4778975454.365,-80.4235305786133
4779402348.71291,-61.4490203857422
4779829243.06083,-83.5537872314453
4780256137.40875,-64.5770721435547
4780683031.75667,-78.845947265625
4781109926.10459,-62.0203895568848
4781536820.45251,-89.4086151123047
4781963714.80043,-61.6574897766113
4782390609.14835,-77.787223815918
4782817503.49626,-60.9895973205566
4783244397.84418,-83.2192993164063
4783671292.1921,-65.4162826538086
4784098186.54002,-76.699104309082
4784525080.88794,-62.2385749816895
4784951975.23586,-76.0076904296875
4785378869.58378,-62.3423614501953
4785805763.9317,-89.9532699584961
4786232658.27962,-66.91162109375
4786659552.62753,-70.1292572021484
4787086446.97545,-61.4431228637695
4787513341.32337,-82.1228485107422
4787940235.67129,-62.7213401794434
4788367130.01921,-82.2450103759766
4788794024.36713,-65.6090698242188
4789220918.71505,-87.686637878418
4789647813.06297,-62.5643844604492
4790074707.41089,-76.2622146606445
4790501601.7588,-61.9016342163086
4790928496.10672,-82.3961563110352
4791355390.45464,-65.6323318481445
4791782284.80256,-83.9404220581055
4792209179.15048,-61.6888275146484
4792636073.4984,-72.7570495605469
4793062967.84632,-61.8345069885254
4793489862.19424,-75.5823059082031
4793916756.54216,-62.2094841003418
4794343650.89007,-71.4653549194336
4794770545.23799,-50.835033416748
4795197439.58591,-50.3221282958984
4795624333.93383,-33.9735450744629
4796051228.28175,-27.476053237915
4796478122.62967,-22.0589179992676
4796905016.97759,-17.4039096832275
4797331911.32551,-13.5294055938721
4797758805.67343,-10.3038501739502
4798185700.02135,-7.63390636444092
4798612594.36926,-5.48723745346069
4799039488.71718,-3.87927722930908
4799466383.0651,-2.77033877372742
4799893277.41302,-2.18908476829529
4800320171.76094,-2.07911133766174
4800747066.10886,-2.12941598892212
4801173960.45678,-2.56115293502808
4801600854.8047,-3.4625141620636
4802027749.15261,-4.82688522338867
4802454643.50053,-6.68586874008179
4802881537.84845,-9.03431987762451
4803308432.19637,-11.9596967697144
4803735326.54429,-15.4987449645996
4804162220.89221,-19.7389221191406
4804589115.24013,-24.7507839202881
4805016009.58805,-30.6078224182129
4805442903.93597,-37.4695167541504
4805869798.28389,-44.9992713928223
4806296692.6318,-70.6496200561523
4806723586.97972,-54.6569976806641
4807150481.32764,-78.7602996826172
4807577375.67556,-61.7571411132813
4808004270.02348,-77.5946197509766
4808431164.3714,-61.8180618286133
4808858058.71932,-73.6449890136719
4809284953.06724,-63.9185218811035
4809711847.41515,-74.43603515625
4810138741.76307,-63.7498931884766
4810565636.11099,-75.4043502807617
4810992530.45891,-65.0408477783203
4811419424.80683,-77.0061874389648
4811846319.15475,-61.7884292602539
4812273213.50267,-81.0039138793945
4812700107.85059,-62.5759544372559
4813127002.19851,-76.6828994750977
4813553896.54642,-63.8794021606445
4813980790.89434,-79.3070297241211
4814407685.24226,-58.8087501525879
4814834579.59018,-77.0283966064453
4815261473.9381,-64.3601303100586
4815688368.28602,-84.8507308959961
4816115262.63394,-62.6959075927734
4816542156.98186,-76.5662002563477
4816969051.32978,-62.3413429260254
4817395945.67769,-81.7853927612305
4817822840.02561,-63.2736511230469
4818249734.37353,-78.0038223266602
4818676628.72145,-62.131233215332
4819103523.06937,-74.6926040649414
4819530417.41729,-61.4525604248047
4819957311.76521,-75.3257904052734
4820384206.11313,-65.4186859130859
4820811100.46105,-77.4266510009766
4821237994.80896,-63.1672477722168
4821664889.15688,-76.0865325927734
4822091783.5048,-60.8562774658203
4822518677.85272,-78.7216873168945
4822945572.20064,-64.8562088012695
4823372466.54856,-78.3083267211914
4823799360.89648,-63.6131057739258
4824226255.2444,-83.6068878173828
4824653149.59232,-60.3966979980469
4825080043.94024,-73.439453125
4825506938.28815,-59.1469802856445
4825933832.63607,-82.5310287475586
4826360726.98399,-63.6753311157227
4826787621.33191,-74.9755477905273
4827214515.67983,-64.1181716918945
4827641410.02775,-71.8216094970703
4828068304.37567,-61.4448776245117
4828495198.72359,-73.211784362793
4828922093.0715,-61.7010459899902
4829348987.41942,-82.3401031494141
4829775881.76734,-63.793815612793
4830202776.11526,-78.7635726928711
4830629670.46318,-64.3829116821289
4831056564.8111,-77.5219421386719
4831483459.15902,-63.4433326721191
4831910353.50694,-76.6308670043945
4832337247.85486,-64.33154296875
4832764142.20278,-83.8086700439453
4833191036.55069,-62.1866722106934
4833617930.89861,-81.0089645385742
4834044825.24653,-63.4269180297852
4834471719.59445,-87.4084701538086
4834898613.94237,-66.2715301513672
4835325508.29029,-72.7086791992188
4835752402.63821,-60.2726516723633
4836179296.98613,-74.7235488891602
4836606191.33404,-62.5381355285645
4837033085.68196,-81.7212829589844
4837459980.02988,-62.8729400634766
4837886874.3778,-77.0695419311523
4838313768.72572,-62.358154296875
4838740663.07364,-81.1392974853516
4839167557.42156,-62.4585151672363
4839594451.76948,-72.1212997436523
4840021346.1174,-60.8273658752441
4840448240.46531,-76.5607223510742
