Trace
Swept SA
A.14.05,N9020A
526 B25 FS1 MPB RTL ,01
Segment,0
Number of Points,938
Sweep Time,0.001061933333
Start Frequency,4700000000
Stop Frequency,5100000004
Average Count,1
Average Type,LogPower(Video)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,3000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,20
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
4700000000,-49.0285301208496
4700426894.34792,-51.5794105529785
4700853788.69584,-48.7557029724121
4701280683.04376,-52.9190368652344
4701707577.39168,-49.3780288696289
4702134471.73959,-55.3265228271484
4702561366.08751,-52.8541145324707
4702988260.43543,-62.743335723877
4703415154.78335,-56.3809089660645
4703842049.13127,-74.014892578125
4704268943.47919,-61.7296104431152
4704695837.82711,-80.0706024169922
4705122732.17503,-64.3972625732422
4705549626.52295,-75.4278411865234
4705976520.87086,-59.256950378418
4706403415.21878,-80.3150024414063
4706830309.5667,-63.1806106567383
4707257203.91462,-80.9828948974609
4707684098.26254,-64.314453125
4708110992.61046,-77.4895782470703
4708537886.95838,-64.2283020019531
4708964781.3063,-77.9744720458984
4709391675.65422,-60.9642791748047
4709818570.00213,-80.8346786499023
4710245464.35005,-63.1123352050781
4710672358.69797,-75.9978942871094
4711099253.04589,-61.3762474060059
4711526147.39381,-76.7265396118164
4711953041.74173,-62.6996192932129
4712379936.08965,-83.6439208984375
4712806830.43757,-60.6919326782227
4713233724.78549,-78.3010940551758
4713660619.1334,-63.5274810791016
4714087513.48132,-85.8439102172852
4714514407.82924,-63.6055450439453
4714941302.17716,-80.5106353759766
4715368196.52508,-62.2644462585449
4715795090.873,-84.3155670166016
4716221985.22092,-62.577693939209
4716648879.56884,-83.0678024291992
4717075773.91676,-62.5396385192871
4717502668.26467,-73.9878234863281
4717929562.61259,-59.306079864502
4718356456.96051,-83.2018814086914
4718783351.30843,-63.0389823913574
4719210245.65635,-78.1956558227539
4719637140.00427,-60.5190467834473
4720064034.35219,-81.5860824584961
4720490928.70011,-65.0353927612305
4720917823.04803,-76.0992050170898
4721344717.39594,-62.7146263122559
4721771611.74386,-76.4153900146484
4722198506.09178,-64.6417922973633
4722625400.4397,-79.5022888183594
4723052294.78762,-61.8771209716797
4723479189.13554,-73.8500518798828
4723906083.48346,-63.1068305969238
4724332977.83138,-74.923957824707
4724759872.1793,-61.3637237548828
4725186766.52721,-78.97802734375
4725613660.87513,-62.9608993530273
4726040555.22305,-75.2278060913086
4726467449.57097,-61.1442985534668
4726894343.91889,-77.4327774047852
4727321238.26681,-65.1381072998047
4727748132.61473,-76.8574829101563
4728175026.96265,-59.2337875366211
4728601921.31057,-75.8375549316406
4729028815.65848,-62.9167137145996
4729455710.0064,-81.9002075195313
4729882604.35432,-62.7346115112305
4730309498.70224,-77.9706649780273
4730736393.05016,-60.5623016357422
4731163287.39808,-82.534782409668
4731590181.746,-62.6607055664063
4732017076.09392,-85.4996719360352
4732443970.44184,-63.6412734985352
4732870864.78975,-68.104621887207
4733297759.13767,-60.9412803649902
4733724653.48559,-77.8162384033203
4734151547.83351,-63.0815734863281
4734578442.18143,-78.4918060302734
4735005336.52935,-62.0881042480469
4735432230.87727,-86.1411819458008
4735859125.22519,-60.4383316040039
4736286019.57311,-83.7932281494141
4736712913.92102,-64.6327743530273
4737139808.26894,-78.3386840820313
4737566702.61686,-62.6383209228516
4737993596.96478,-80.1857452392578
4738420491.3127,-57.7357177734375
4738847385.66062,-72.6285552978516
4739274280.00854,-63.5734825134277
4739701174.35646,-84.8749618530273
4740128068.70438,-62.3183708190918
4740554963.05229,-81.8515930175781
4740981857.40021,-64.2036437988281
4741408751.74813,-77.2128372192383
4741835646.09605,-61.0112419128418
4742262540.44397,-72.0882873535156
4742689434.79189,-60.1111068725586
4743116329.13981,-74.1955108642578
4743543223.48773,-62.038272857666
4743970117.83565,-74.0067901611328
4744397012.18356,-65.2589263916016
4744823906.53148,-77.9153442382813
4745250800.8794,-59.2811126708984
4745677695.22732,-86.8979034423828
4746104589.57524,-59.7692718505859
4746531483.92316,-70.9308319091797
4746958378.27108,-62.4622421264648
4747385272.619,-82.8737106323242
4747812166.96692,-61.7833213806152
4748239061.31483,-74.8571853637695
4748665955.66275,-60.6200790405273
4749092850.01067,-75.8649444580078
4749519744.35859,-64.3963470458984
4749946638.70651,-80.9405822753906
4750373533.05443,-60.9070243835449
4750800427.40235,-75.3236236572266
4751227321.75027,-60.4552001953125
4751654216.09819,-76.3431396484375
4752081110.44611,-63.2819290161133
4752508004.79402,-73.514533996582
4752934899.14194,-62.0606269836426
4753361793.48986,-76.607307434082
4753788687.83778,-60.2352066040039
4754215582.1857,-81.8475646972656
4754642476.53362,-63.8086280822754
4755069370.88154,-79.2850036621094
4755496265.22946,-60.2230339050293
4755923159.57737,-82.5688629150391
4756350053.92529,-61.954704284668
4756776948.27321,-88.7777633666992
4757203842.62113,-60.1733818054199
4757630736.96905,-80.5194473266602
4758057631.31697,-59.9405670166016
4758484525.66489,-77.2623672485352
4758911420.01281,-62.8157997131348
4759338314.36073,-70.3585357666016
4759765208.70864,-63.192985534668
4760192103.05656,-76.1764526367188
4760618997.40448,-62.5838851928711
4761045891.7524,-75.6518707275391
4761472786.10032,-64.316291809082
4761899680.44824,-74.9876480102539
4762326574.79616,-64.9668731689453
4762753469.14408,-68.2940063476563
4763180363.492,-62.564525604248
4763607257.83991,-85.1205444335938
4764034152.18783,-64.5387268066406
4764461046.53575,-71.3553466796875
4764887940.88367,-62.7111015319824
4765314835.23159,-75.5115737915039
4765741729.57951,-61.4023399353027
4766168623.92743,-70.5406188964844
4766595518.27535,-62.0088233947754
4767022412.62327,-84.3980102539063
4767449306.97118,-62.828441619873
4767876201.3191,-74.4926986694336
4768303095.66702,-60.6620101928711
4768729990.01494,-76.1457290649414
4769156884.36286,-60.3116035461426
4769583778.71078,-75.2999801635742
4770010673.0587,-63.2412223815918
4770437567.40662,-73.8861236572266
4770864461.75454,-61.9111518859863
4771291356.10245,-86.8976058959961
4771718250.45037,-63.2452201843262
4772145144.79829,-82.061149597168
4772572039.14621,-64.0890884399414
4772998933.49413,-78.6129837036133
4773425827.84205,-64.867546081543
4773852722.18997,-78.0457763671875
4774279616.53789,-61.4311485290527
4774706510.88581,-81.816162109375
4775133405.23372,-63.1216621398926
4775560299.58164,-79.8643341064453
4775987193.92956,-60.574535369873
4776414088.27748,-72.6738739013672
4776840982.6254,-60.670970916748
4777267876.97332,-72.6997604370117
4777694771.32124,-62.7414512634277
4778121665.66916,-75.3625946044922
4778548560.01708,-59.0500259399414
4778975454.365,-69.0540618896484
4779402348.71291,-61.171215057373
4779829243.06083,-79.0456848144531
4780256137.40875,-62.7911758422852
4780683031.75667,-76.2119293212891
4781109926.10459,-62.9192161560059
4781536820.45251,-77.6371383666992
4781963714.80043,-62.6393661499023
4782390609.14835,-75.3950042724609
4782817503.49626,-61.4187965393066
4783244397.84418,-74.5374984741211
4783671292.1921,-63.4194564819336
4784098186.54002,-86.9250106811523
4784525080.88794,-64.2184982299805
4784951975.23586,-88.7235641479492
4785378869.58378,-65.9428176879883
4785805763.9317,-71.28662109375
4786232658.27962,-61.2195434570313
4786659552.62753,-75.4678344726563
4787086446.97545,-61.7003517150879
4787513341.32337,-75.0917129516602
4787940235.67129,-61.0126113891602
4788367130.01921,-80.7472076416016
4788794024.36713,-60.6012077331543
4789220918.71505,-75.8379974365234
4789647813.06297,-62.4049034118652
4790074707.41089,-77.758544921875
4790501601.7588,-65.0324630737305
4790928496.10672,-81.2092361450195
4791355390.45464,-63.2342376708984
4791782284.80256,-72.0219497680664
4792209179.15048,-62.8595809936523
4792636073.4984,-78.3807830810547
4793062967.84632,-64.3759155273438
4793489862.19424,-86.3042984008789
4793916756.54216,-63.5625038146973
4794343650.89007,-75.3046646118164
4794770545.23799,-63.2429656982422
4795197439.58591,-82.4800109863281
4795624333.93383,-61.0464019775391
4796051228.28175,-73.9482955932617
4796478122.62967,-54.1800537109375
4796905016.97759,-55.2134552001953
4797331911.32551,-46.3737182617188
4797758805.67343,-46.1062812805176
4798185700.02135,-40.5546531677246
4798612594.36926,-38.2088165283203
4799039488.71718,-37.092529296875
4799466383.0651,-35.7616386413574
4799893277.41302,-35.0444221496582
4800320171.76094,-35.4731559753418
4800747066.10886,-34.6341896057129
4801173960.45678,-35.2180557250977
4801600854.8047,-36.0642967224121
4802027749.15261,-37.3684043884277
4802454643.50053,-39.2597236633301
4802881537.84845,-45.1762924194336
4803308432.19637,-41.4593124389648
4803735326.54429,-52.0243530273438
4804162220.89221,-48.2838554382324
4804589115.24013,-65.9028167724609
4805016009.58805,-55.6882667541504
4805442903.93597,-74.9593658447266
4805869798.28389,-63.571117401123
4806296692.6318,-82.2138442993164
4806723586.97972,-66.1051025390625
4807150481.32764,-78.5030746459961
4807577375.67556,-64.6476440429688
4808004270.02348,-75.6110229492188
4808431164.3714,-61.6762199401855
4808858058.71932,-79.7302627563477
4809284953.06724,-65.3193054199219
4809711847.41515,-73.3196640014648
4810138741.76307,-64.8714065551758
4810565636.11099,-76.633903503418
4810992530.45891,-61.8122711181641
4811419424.80683,-73.9459075927734
4811846319.15475,-62.1345825195313
4812273213.50267,-82.9044570922852
4812700107.85059,-63.0279388427734
4813127002.19851,-78.1689376831055
4813553896.54642,-59.6601333618164
4813980790.89434,-75.8271026611328
4814407685.24226,-62.9258651733398
4814834579.59018,-77.8794555664063
4815261473.9381,-65.1986923217773
4815688368.28602,-84.9969863891602
4816115262.63394,-64.1826858520508
4816542156.98186,-77.7538604736328
4816969051.32978,-63.1505088806152
4817395945.67769,-71.4102935791016
4817822840.02561,-61.4142608642578
4818249734.37353,-79.9506683349609
4818676628.72145,-61.9702796936035
4819103523.06937,-85.0596160888672
4819530417.41729,-59.0441703796387
4819957311.76521,-80.0653991699219
4820384206.11313,-63.014705657959
4820811100.46105,-77.0819625854492
4821237994.80896,-63.8588218688965
4821664889.15688,-77.1433715820313
4822091783.5048,-62.029239654541
4822518677.85272,-73.5506744384766
4822945572.20064,-62.4221000671387
4823372466.54856,-77.1441879272461
4823799360.89648,-64.5089950561523
4824226255.2444,-82.5390319824219
4824653149.59232,-65.3780975341797
4825080043.94024,-74.1177978515625
4825506938.28815,-62.5717811584473
4825933832.63607,-88.3686294555664
4826360726.98399,-61.8740005493164
4826787621.33191,-82.224967956543
4827214515.67983,-63.5706443786621
4827641410.02775,-80.683479309082
4828068304.37567,-64.1795806884766
4828495198.72359,-72.9479446411133
4828922093.0715,-63.8977699279785
4829348987.41942,-75.8322372436523
4829775881.76734,-65.5672225952148
4830202776.11526,-80.5105209350586
4830629670.46318,-62.7785415649414
4831056564.8111,-71.0787506103516
4831483459.15902,-59.4136772155762
4831910353.50694,-76.5074005126953
4832337247.85486,-59.3538208007813
4832764142.20278,-77.2662658691406
4833191036.55069,-63.9181823730469
4833617930.89861,-86.3335800170898
4834044825.24653,-62.9536209106445
4834471719.59445,-78.8758544921875
4834898613.94237,-63.3376655578613
4835325508.29029,-84.0575637817383
4835752402.63821,-59.339282989502
4836179296.98613,-77.0738754272461
4836606191.33404,-65.0758666992188
4837033085.68196,-77.7710037231445
4837459980.02988,-62.7259521484375
4837886874.3778,-87.0610046386719
4838313768.72572,-64.8856048583984
4838740663.07364,-71.9761047363281
4839167557.42156,-62.7745361328125
4839594451.76948,-82.7712631225586
4840021346.1174,-63.9861221313477
4840448240.46531,-77.224365234375
