Trace
Swept SA
A.14.05,N9020A
526 B25 FS1 MPB RTL ,01
Segment,0
Number of Points,938
Sweep Time,0.0016866
Start Frequency,4400000000
Stop Frequency,5400000000
Average Count,1
Average Type,LogPower(Video)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,3000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,20
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
4400000000,-60.0638046264648
4401067235.85913,-80.3404846191406
4402134471.71825,-58.4803161621094
4403201707.57737,-77.6810531616211
4404268943.4365,-62.608757019043
4405336179.29562,-82.3254165649414
4406403415.15475,-60.9260520935059
4407470651.01387,-79.8284072875977
4408537886.873,-62.0412521362305
4409605122.73212,-77.2446670532227
4410672358.59125,-61.3529205322266
4411739594.45037,-78.2628555297852
4412806830.3095,-63.5367164611816
4413874066.16862,-83.3261337280273
4414941302.02775,-61.4373054504395
4416008537.88687,-75.2215576171875
4417075773.746,-62.3650970458984
4418143009.60512,-85.9195938110352
4419210245.46425,-61.3247261047363
4420277481.32337,-81.9945983886719
4421344717.1825,-62.158447265625
4422411953.04162,-84.9353866577148
4423479188.90075,-63.1964797973633
4424546424.75987,-76.83154296875
4425613660.619,-61.6269569396973
4426680896.47812,-93.6640930175781
4427748132.33725,-63.5799827575684
4428815368.19637,-95.3400497436523
4429882604.0555,-63.7515258789063
4430949839.91462,-80.3865966796875
4432017075.77375,-63.9157180786133
4433084311.63287,-93.9552993774414
4434151547.492,-62.327823638916
4435218783.35112,-80.7686309814453
4436286019.21025,-60.6054306030273
4437353255.06937,-85.5129470825195
4438420490.9285,-61.6904983520508
4439487726.78762,-79.1935348510742
4440554962.64674,-61.1616477966309
4441622198.50587,-84.5735702514648
4442689434.365,-59.9867858886719
4443756670.22412,-78.2497406005859
4444823906.08324,-60.6088447570801
4445891141.94237,-83.1704406738281
4446958377.80149,-62.3450660705566
4448025613.66062,-75.4627304077148
4449092849.51974,-62.5158729553223
4450160085.37887,-83.8295516967773
4451227321.23799,-62.6477279663086
4452294557.09712,-81.1458587646484
4453361792.95624,-63.1617469787598
4454429028.81537,-78.5327301025391
4455496264.67449,-59.9506988525391
4456563500.53362,-77.1542205810547
4457630736.39274,-62.2322006225586
4458697972.25187,-82.3570938110352
4459765208.11099,-62.3000717163086
4460832443.97012,-81.9744491577148
4461899679.82924,-60.7319755554199
4462966915.68837,-84.8100967407227
4464034151.54749,-63.0766830444336
4465101387.40662,-80.1633529663086
4466168623.26574,-61.1271553039551
4467235859.12487,-88.1986694335938
4468303094.98399,-63.2190399169922
4469370330.84312,-79.1988983154297
4470437566.70224,-61.5068969726563
4471504802.56137,-79.3520202636719
4472572038.42049,-58.8746109008789
4473639274.27962,-86.6560745239258
4474706510.13874,-61.3692436218262
4475773745.99787,-80.6011962890625
4476840981.85699,-60.1333389282227
4477908217.71612,-79.0573501586914
4478975453.57524,-62.2075881958008
4480042689.43437,-77.70458984375
4481109925.29349,-61.0444412231445
4482177161.15261,-83.4865951538086
4483244397.01174,-62.4719467163086
4484311632.87086,-76.7739410400391
4485378868.72999,-63.2372741699219
4486446104.58911,-76.2737045288086
4487513340.44824,-62.4041137695313
4488580576.30736,-90.4788208007813
4489647812.16649,-63.1062355041504
4490715048.02561,-79.6541976928711
4491782283.88474,-61.8923797607422
4492849519.74386,-82.4641189575195
4493916755.60299,-58.5810127258301
4494983991.46211,-81.1157684326172
4496051227.32124,-61.993579864502
4497118463.18036,-74.6757736206055
4498185699.03949,-62.3686561584473
4499252934.89861,-78.9996643066406
4500320170.75774,-61.6148719787598
4501387406.61686,-74.7762451171875
4502454642.47599,-61.2579498291016
4503521878.33511,-76.4462738037109
4504589114.19424,-62.553165435791
4505656350.05336,-77.5085144042969
4506723585.91249,-63.0803718566895
4507790821.77161,-74.0751495361328
4508858057.63074,-61.6151695251465
4509925293.48986,-85.8755493164063
4510992529.34899,-61.8439903259277
4512059765.20811,-84.1612014770508
4513127001.06724,-62.8444976806641
4514194236.92636,-83.0046691894531
4515261472.78549,-60.0578765869141
4516328708.64461,-80.2827224731445
4517395944.50374,-63.1985168457031
4518463180.36286,-76.4458770751953
4519530416.22198,-64.8722229003906
4520597652.08111,-74.3780212402344
4521664887.94024,-63.6848258972168
4522732123.79936,-79.735969543457
4523799359.65848,-61.3149147033691
4524866595.51761,-80.121337890625
4525933831.37673,-62.3484954833984
4527001067.23586,-80.5978317260742
4528068303.09498,-61.1441917419434
4529135538.95411,-77.4305114746094
4530202774.81323,-61.2289657592773
4531270010.67236,-83.7718048095703
4532337246.53148,-62.5756301879883
4533404482.39061,-80.9219741821289
4534471718.24973,-62.6662826538086
4535538954.10886,-97.9139709472656
4536606189.96798,-61.1474266052246
4537673425.82711,-78.211311340332
4538740661.68623,-64.3284912109375
4539807897.54536,-84.4041442871094
4540875133.40448,-63.2829360961914
4541942369.26361,-79.0768508911133
4543009605.12273,-63.522045135498
4544076840.98186,-88.902473449707
4545144076.84098,-64.7761077880859
4546211312.70011,-85.4992370605469
4547278548.55923,-61.0891876220703
4548345784.41836,-83.5879287719727
4549413020.27748,-61.3055191040039
4550480256.13661,-89.8616027832031
4551547491.99573,-63.6590423583984
4552614727.85486,-76.0318298339844
4553681963.71398,-59.4716339111328
4554749199.57311,-78.0450744628906
4555816435.43223,-63.2869453430176
4556883671.29136,-81.9985580444336
4557950907.15048,-60.5774917602539
4559018143.00961,-80.0100784301758
4560085378.86873,-60.028751373291
4561152614.72785,-81.3780517578125
4562219850.58698,-62.9650840759277
4563287086.44611,-83.797721862793
4564354322.30523,-63.2188949584961
4565421558.16435,-81.9900360107422
4566488794.02348,-61.3928337097168
4567556029.8826,-80.1448669433594
4568623265.74173,-62.5395927429199
4569690501.60085,-88.31982421875
4570757737.45998,-61.2228469848633
4571824973.3191,-83.8987045288086
4572892209.17823,-62.4548568725586
4573959445.03735,-79.1431884765625
4575026680.89648,-63.1290512084961
4576093916.7556,-86.311279296875
4577161152.61473,-62.0901107788086
4578228388.47385,-88.555305480957
4579295624.33298,-61.1371536254883
4580362860.1921,-72.5412902832031
4581430096.05123,-60.1922836303711
4582497331.91035,-83.3759841918945
4583564567.76948,-59.844181060791
4584631803.6286,-83.9208297729492
4585699039.48773,-60.5668830871582
4586766275.34685,-81.9286804199219
4587833511.20598,-65.0068893432617
4588900747.0651,-82.1508865356445
4589967982.92423,-61.2846984863281
4591035218.78335,-83.0609970092773
4592102454.64248,-61.1666297912598
4593169690.5016,-86.2501449584961
4594236926.36073,-61.7195625305176
4595304162.21985,-78.0984878540039
4596371398.07898,-59.980224609375
4597438633.9381,-69.253044128418
4598505869.79723,-48.3354148864746
4599573105.65635,-48.9234924316406
4600640341.51548,-47.364086151123
4601707577.3746,-53.8265113830566
4602774813.23372,-48.3094711303711
4603842049.09285,-72.3581924438477
4604909284.95197,-58.0821800231934
4605976520.8111,-73.3947143554688
4607043756.67022,-60.4504051208496
4608110992.52935,-86.6943817138672
4609178228.38847,-61.5905494689941
4610245464.2476,-80.9863891601563
4611312700.10672,-62.5028610229492
4612379935.96585,-83.4949798583984
4613447171.82497,-61.326488494873
4614514407.6841,-82.9933319091797
4615581643.54322,-61.6719818115234
4616648879.40235,-73.9886779785156
4617716115.26147,-63.2724571228027
4618783351.1206,-75.7082138061523
4619850586.97972,-59.889331817627
4620917822.83885,-73.7714385986328
4621985058.69797,-60.8342475891113
4623052294.5571,-80.9669876098633
4624119530.41622,-61.7152214050293
4625186766.27535,-76.7717590332031
4626254002.13447,-59.3859939575195
4627321237.9936,-83.6439361572266
4628388473.85272,-57.9195785522461
4629455709.71185,-90.374267578125
4630522945.57097,-61.7366256713867
4631590181.4301,-86.3752670288086
4632657417.28922,-60.2025985717773
4633724653.14835,-80.2118759155273
4634791889.00747,-60.9983215332031
4635859124.8666,-78.0465393066406
4636926360.72572,-60.316822052002
4637993596.58485,-84.4005813598633
4639060832.44397,-63.2585563659668
4640128068.30309,-91.9342041015625
4641195304.16222,-61.5371208190918
4642262540.02135,-72.8506240844727
4643329775.88047,-61.3641967773438
4644397011.73959,-84.0721588134766
4645464247.59872,-59.3318824768066
4646531483.45784,-70.4403381347656
4647598719.31697,-60.0261840820313
4648665955.17609,-72.6574325561523
4649733191.03522,-58.660457611084
4650800426.89434,-77.3894729614258
4651867662.75347,-61.3030738830566
4652934898.61259,-80.5516891479492
4654002134.47172,-60.0836029052734
4655069370.33084,-81.1482467651367
4656136606.18997,-57.6654472351074
4657203842.04909,-78.411865234375
4658271077.90822,-58.8514175415039
4659338313.76734,-82.7338104248047
4660405549.62647,-61.5969276428223
4661472785.48559,-75.0998077392578
4662540021.34472,-60.2892608642578
4663607257.20384,-82.8001556396484
4664674493.06297,-58.892463684082
4665741728.92209,-84.6098861694336
4666808964.78122,-61.3680458068848
4667876200.64034,-76.8492736816406
4668943436.49947,-58.7777099609375
4670010672.35859,-76.9186706542969
4671077908.21772,-61.7287940979004
4672145144.07684,-81.7842636108398
4673212379.93597,-61.7746772766113
4674279615.79509,-83.8394622802734
4675346851.65422,-63.1125755310059
4676414087.51334,-78.4607772827148
4677481323.37247,-60.1341934204102
4678548559.23159,-82.7068252563477
4679615795.09072,-60.4755172729492
4680683030.94984,-78.8207931518555
4681750266.80896,-59.2433433532715
4682817502.66809,-82.6405715942383
4683884738.52721,-59.8448371887207
4684951974.38634,-76.9341049194336
4686019210.24546,-61.5178680419922
4687086446.10459,-82.1289520263672
4688153681.96371,-60.5759963989258
4689220917.82284,-84.806640625
4690288153.68196,-60.8893928527832
4691355389.54109,-79.7829284667969
4692422625.40021,-59.6028366088867
4693489861.25934,-76.8376235961914
4694557097.11846,-59.5178985595703
4695624332.97759,-70.6247863769531
4696691568.83671,-58.5679397583008
4697758804.69584,-61.3987045288086
4698826040.55496,-48.6289749145508
4699893276.41409,-50.2147560119629
4700960512.27321,-47.7187042236328
4702027748.13234,-66.026496887207
4703094983.99146,-51.5612640380859
4704162219.85059,-73.8619689941406
4705229455.70971,-61.4832229614258
4706296691.56884,-77.5002212524414
4707363927.42796,-61.6290550231934
4708431163.28709,-75.8028335571289
4709498399.14621,-61.0869903564453
4710565635.00534,-80.358283996582
4711632870.86446,-62.4092483520508
4712700106.72359,-76.3203277587891
4713767342.58271,-59.9718627929688
4714834578.44184,-76.2545776367188
4715901814.30096,-63.6447372436523
4716969050.16009,-85.7687301635742
4718036286.01921,-64.4594421386719
4719103521.87834,-76.5640487670898
4720170757.73746,-62.1043739318848
4721237993.59659,-80.7822494506836
4722305229.45571,-61.6255912780762
4723372465.31483,-79.265739440918
4724439701.17396,-61.0431861877441
4725506937.03308,-95.2642364501953
4726574172.89221,-59.9404449462891
4727641408.75133,-76.1423187255859
4728708644.61046,-61.1564292907715
4729775880.46958,-73.6123275756836
4730843116.32871,-60.4130706787109
4731910352.18783,-74.0478134155273
4732977588.04696,-61.6386070251465
4734044823.90608,-84.1837158203125
4735112059.76521,-59.7421340942383
4736179295.62433,-81.3766632080078
4737246531.48346,-64.3094253540039
4738313767.34258,-79.6477508544922
4739381003.20171,-61.863224029541
4740448239.06083,-78.590576171875
4741515474.91996,-63.0409889221191
4742582710.77908,-79.5008239746094
4743649946.63821,-63.0288963317871
4744717182.49733,-77.2604064941406
4745784418.35646,-61.9342384338379
4746851654.21558,-72.1904754638672
4747918890.07471,-60.0693664550781
4748986125.93383,-82.1970367431641
4750053361.79296,-61.1479187011719
4751120597.65208,-79.7692031860352
