Trace
Swept SA
A.14.05,N9020A
526 B25 FS1 MPB RTL ,01
Segment,0
Number of Points,938
Sweep Time,0.0016866
Start Frequency,4400000000
Stop Frequency,5400000000
Average Count,1
Average Type,LogPower(Video)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,3000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,20
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
4400000000,-63.053524017334
4401067235.85913,-71.3779373168945
4402134471.71825,-61.9249649047852
4403201707.57737,-74.2003936767578
4404268943.4365,-63.9382553100586
4405336179.29562,-72.6499786376953
4406403415.15475,-60.7018966674805
4407470651.01387,-83.994758605957
4408537886.873,-65.0442047119141
4409605122.73212,-84.5322952270508
4410672358.59125,-61.5462074279785
4411739594.45037,-81.9037322998047
4412806830.3095,-61.8279914855957
4413874066.16862,-78.6445922851563
4414941302.02775,-62.4610710144043
4416008537.88687,-78.468505859375
4417075773.746,-63.4336929321289
4418143009.60512,-76.4712524414063
4419210245.46425,-62.2272300720215
4420277481.32337,-82.0791168212891
4421344717.1825,-60.3284568786621
4422411953.04162,-78.9302139282227
4423479188.90075,-61.6986770629883
4424546424.75987,-78.4895553588867
4425613660.619,-60.6855010986328
4426680896.47812,-84.4487228393555
4427748132.33725,-58.7815818786621
4428815368.19637,-81.1837005615234
4429882604.0555,-58.7737998962402
4430949839.91462,-82.7089996337891
4432017075.77375,-61.1001777648926
4433084311.63287,-76.4351425170898
4434151547.492,-62.3506050109863
4435218783.35112,-75.5410308837891
4436286019.21025,-60.8325271606445
4437353255.06937,-80.7968597412109
4438420490.9285,-63.4058418273926
4439487726.78762,-79.8402786254883
4440554962.64674,-63.2767944335938
4441622198.50587,-84.2854690551758
4442689434.365,-62.9125671386719
4443756670.22412,-77.4339599609375
4444823906.08324,-62.8459892272949
4445891141.94237,-80.7517623901367
4446958377.80149,-61.4976844787598
4448025613.66062,-90.8905181884766
4449092849.51974,-64.7361145019531
4450160085.37887,-75.1646499633789
4451227321.23799,-60.2834358215332
4452294557.09712,-78.6764755249023
4453361792.95624,-60.522590637207
4454429028.81537,-79.2287139892578
4455496264.67449,-59.9227714538574
4456563500.53362,-79.0239028930664
4457630736.39274,-63.3346061706543
4458697972.25187,-86.1427536010742
4459765208.11099,-59.7439651489258
4460832443.97012,-76.6211776733398
4461899679.82924,-60.4357986450195
4462966915.68837,-79.8514785766602
4464034151.54749,-61.5583038330078
4465101387.40662,-87.6545562744141
4466168623.26574,-63.0842895507813
4467235859.12487,-80.15478515625
4468303094.98399,-63.8069915771484
4469370330.84312,-79.0533752441406
4470437566.70224,-60.8153228759766
4471504802.56137,-79.6628952026367
4472572038.42049,-62.9608612060547
4473639274.27962,-78.2638397216797
4474706510.13874,-61.6507263183594
4475773745.99787,-83.1859664916992
4476840981.85699,-61.712718963623
4477908217.71612,-80.6580429077148
4478975453.57524,-61.1625099182129
4480042689.43437,-74.031379699707
4481109925.29349,-57.6821060180664
4482177161.15261,-83.1544036865234
4483244397.01174,-61.2982521057129
4484311632.87086,-81.013786315918
4485378868.72999,-62.3340377807617
4486446104.58911,-76.8579788208008
4487513340.44824,-62.5466918945313
4488580576.30736,-79.3210144042969
4489647812.16649,-61.1939315795898
4490715048.02561,-79.5953979492188
4491782283.88474,-62.5890998840332
4492849519.74386,-76.1355743408203
4493916755.60299,-61.2076759338379
4494983991.46211,-87.8183898925781
4496051227.32124,-61.4725112915039
4497118463.18036,-80.424446105957
4498185699.03949,-60.0256805419922
4499252934.89861,-78.7159805297852
4500320170.75774,-60.5617065429688
4501387406.61686,-78.9220199584961
4502454642.47599,-57.8691558837891
4503521878.33511,-91.0193328857422
4504589114.19424,-62.0967712402344
4505656350.05336,-79.2583999633789
4506723585.91249,-62.4960975646973
4507790821.77161,-81.2290267944336
4508858057.63074,-62.046573638916
4509925293.48986,-77.4575881958008
4510992529.34899,-60.8268394470215
4512059765.20811,-89.7819976806641
4513127001.06724,-64.4591522216797
4514194236.92636,-84.1180953979492
4515261472.78549,-64.9459381103516
4516328708.64461,-76.1869201660156
4517395944.50374,-63.2764205932617
4518463180.36286,-75.4324035644531
4519530416.22198,-62.1713333129883
4520597652.08111,-85.5020217895508
4521664887.94024,-63.1079025268555
4522732123.79936,-79.303825378418
4523799359.65848,-61.713249206543
4524866595.51761,-94.5481414794922
4525933831.37673,-60.3987083435059
4527001067.23586,-82.6144943237305
4528068303.09498,-62.847038269043
4529135538.95411,-77.3217391967773
4530202774.81323,-63.9004592895508
4531270010.67236,-74.6578521728516
4532337246.53148,-62.5991477966309
4533404482.39061,-92.8977661132813
4534471718.24973,-64.7718734741211
4535538954.10886,-90.697624206543
4536606189.96798,-62.29833984375
4537673425.82711,-76.3541259765625
4538740661.68623,-62.3941383361816
4539807897.54536,-80.2855606079102
4540875133.40448,-62.9463348388672
4541942369.26361,-82.3127746582031
4543009605.12273,-59.6981735229492
4544076840.98186,-81.6493835449219
4545144076.84098,-60.5215606689453
4546211312.70011,-77.8176803588867
4547278548.55923,-61.9644966125488
4548345784.41836,-74.5636444091797
4549413020.27748,-63.1208114624023
4550480256.13661,-78.755241394043
4551547491.99573,-61.3564872741699
4552614727.85486,-79.755012512207
4553681963.71398,-62.3136329650879
4554749199.57311,-79.8993225097656
4555816435.43223,-65.3572616577148
4556883671.29136,-75.4091186523438
4557950907.15048,-63.1020011901855
4559018143.00961,-81.0845565795898
4560085378.86873,-65.2666473388672
4561152614.72785,-84.9932022094727
4562219850.58698,-62.8805656433105
4563287086.44611,-88.54541015625
4564354322.30523,-62.7117881774902
4565421558.16435,-80.4731292724609
4566488794.02348,-61.9991569519043
4567556029.8826,-78.9572143554688
4568623265.74173,-59.7034721374512
4569690501.60085,-85.3102569580078
4570757737.45998,-61.1096649169922
4571824973.3191,-77.574577331543
4572892209.17823,-63.2206611633301
4573959445.03735,-83.8982315063477
4575026680.89648,-63.9617347717285
4576093916.7556,-80.6221389770508
4577161152.61473,-64.0296096801758
4578228388.47385,-76.9859313964844
4579295624.33298,-63.4250106811523
4580362860.1921,-80.0810089111328
4581430096.05123,-62.7586822509766
4582497331.91035,-78.3262405395508
4583564567.76948,-63.428466796875
4584631803.6286,-81.0817718505859
4585699039.48773,-62.5107917785645
4586766275.34685,-82.6592025756836
4587833511.20598,-60.3348999023438
4588900747.0651,-80.0820388793945
4589967982.92423,-62.1710319519043
4591035218.78335,-81.7131195068359
4592102454.64248,-60.7984275817871
4593169690.5016,-92.9049911499023
4594236926.36073,-60.961841583252
4595304162.21985,-74.7310028076172
4596371398.07898,-57.2712478637695
4597438633.9381,-67.2334442138672
4598505869.79723,-49.109302520752
4599573105.65635,-49.3152122497559
4600640341.51548,-46.4799575805664
4601707577.3746,-54.5254364013672
4602774813.23372,-49.530200958252
4603842049.09285,-80.8540573120117
4604909284.95197,-58.5863456726074
4605976520.8111,-91.0449447631836
4607043756.67022,-62.6302261352539
4608110992.52935,-81.2323303222656
4609178228.38847,-60.9004440307617
4610245464.2476,-79.5135726928711
4611312700.10672,-63.4788589477539
4612379935.96585,-72.7399215698242
4613447171.82497,-61.981315612793
4614514407.6841,-78.2904739379883
4615581643.54322,-62.337100982666
4616648879.40235,-82.1552886962891
4617716115.26147,-61.7048377990723
4618783351.1206,-83.6543426513672
4619850586.97972,-60.2795829772949
4620917822.83885,-74.8084335327148
4621985058.69797,-59.0461463928223
4623052294.5571,-71.1945419311523
4624119530.41622,-61.9937629699707
4625186766.27535,-78.3783264160156
4626254002.13447,-63.2414703369141
4627321237.9936,-74.2962799072266
4628388473.85272,-61.4097938537598
4629455709.71185,-78.1111221313477
4630522945.57097,-61.2794952392578
4631590181.4301,-79.1677398681641
4632657417.28922,-61.3895225524902
4633724653.14835,-75.3679046630859
4634791889.00747,-62.1911239624023
4635859124.8666,-76.5678405761719
4636926360.72572,-58.5720825195313
4637993596.58485,-78.0235366821289
4639060832.44397,-60.2534027099609
4640128068.30309,-81.0505294799805
4641195304.16222,-60.3604888916016
4642262540.02135,-79.6083679199219
4643329775.88047,-60.6358757019043
4644397011.73959,-76.539794921875
4645464247.59872,-59.9426155090332
4646531483.45784,-72.6826324462891
4647598719.31697,-63.6927833557129
4648665955.17609,-76.7172164916992
4649733191.03522,-60.9247970581055
4650800426.89434,-95.2065353393555
4651867662.75347,-61.1266899108887
4652934898.61259,-76.1222305297852
4654002134.47172,-62.374397277832
4655069370.33084,-78.5098190307617
4656136606.18997,-58.7854881286621
4657203842.04909,-81.2832565307617
4658271077.90822,-61.1480941772461
4659338313.76734,-90.9908218383789
4660405549.62647,-58.6057357788086
4661472785.48559,-75.7693328857422
4662540021.34472,-61.8429183959961
4663607257.20384,-83.2117233276367
4664674493.06297,-58.8520431518555
4665741728.92209,-80.7022323608398
4666808964.78122,-60.0458946228027
4667876200.64034,-80.2887725830078
4668943436.49947,-61.915153503418
4670010672.35859,-75.6839752197266
4671077908.21772,-60.0075721740723
4672145144.07684,-78.8731842041016
4673212379.93597,-60.7097511291504
4674279615.79509,-71.6689147949219
4675346851.65422,-58.9102096557617
4676414087.51334,-79.5257034301758
4677481323.37247,-59.7630500793457
4678548559.23159,-72.0340728759766
4679615795.09072,-59.7038345336914
4680683030.94984,-70.6350708007813
4681750266.80896,-59.0596122741699
4682817502.66809,-76.7956237792969
4683884738.52721,-61.9416122436523
4684951974.38634,-81.0923767089844
4686019210.24546,-61.861083984375
4687086446.10459,-76.5992889404297
4688153681.96371,-60.0681533813477
4689220917.82284,-74.6263046264648
4690288153.68196,-61.6970901489258
4691355389.54109,-78.8120803833008
4692422625.40021,-59.6814727783203
4693489861.25934,-84.6852722167969
4694557097.11846,-60.7555313110352
4695624332.97759,-82.9342346191406
4696691568.83671,-55.4650382995605
4697758804.69584,-60.6542129516602
4698826040.55496,-46.649055480957
4699893276.41409,-47.8916244506836
4700960512.27321,-45.042797088623
4702027748.13234,-56.339298248291
4703094983.99146,-48.8346519470215
4704162219.85059,-80.9452896118164
4705229455.70971,-58.4310340881348
4706296691.56884,-77.8478469848633
4707363927.42796,-60.3274841308594
4708431163.28709,-85.5995330810547
4709498399.14621,-60.3740997314453
4710565635.00534,-81.9714660644531
4711632870.86446,-61.3288917541504
4712700106.72359,-78.3494873046875
4713767342.58271,-63.007884979248
4714834578.44184,-73.4324264526367
4715901814.30096,-59.4857330322266
4716969050.16009,-75.5869216918945
4718036286.01921,-59.9204788208008
4719103521.87834,-81.1596069335938
4720170757.73746,-58.4487991333008
4721237993.59659,-92.5449066162109
4722305229.45571,-59.4516487121582
4723372465.31483,-74.2615585327148
4724439701.17396,-61.2188339233398
4725506937.03308,-74.2465209960938
4726574172.89221,-61.5183525085449
4727641408.75133,-94.2173461914063
4728708644.61046,-62.8798522949219
4729775880.46958,-80.349494934082
4730843116.32871,-61.7447738647461
4731910352.18783,-80.837158203125
4732977588.04696,-62.0075454711914
4734044823.90608,-82.400764465332
4735112059.76521,-61.310489654541
4736179295.62433,-79.0373611450195
4737246531.48346,-60.1732063293457
4738313767.34258,-78.1043853759766
4739381003.20171,-59.5775718688965
4740448239.06083,-71.8394546508789
4741515474.91996,-59.7925720214844
4742582710.77908,-79.6110687255859
4743649946.63821,-61.5942993164063
4744717182.49733,-74.7417755126953
4745784418.35646,-59.3832740783691
4746851654.21558,-80.8120193481445
4747918890.07471,-60.2810287475586
4748986125.93383,-79.1161804199219
4750053361.79296,-59.9205741882324
4751120597.65208,-86.0154266357422
